,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
120,Lucas Cavallini,ca CAN,FW,Vancouver,27,1992,18,16,1455,16.2,6,0,6,0,2,8,1,0.37,0,0.37,0.37,0.37,7.6,6.1,0.8,6.9,0.47,0.05,0.52,0.38,0.42,Matches,dd8de641
121,Darwin Cerén,sv SLV,MF,Houston Dynamo,30,1989,20,18,1531,17,1,2,0,1,1,3,0,0.06,0.12,0.18,0,0.12,1.4,0.6,1.2,1.8,0.08,0.07,0.15,0.04,0.11,Matches,a58de3f0
122,Edwin Cerrillo,us USA,MF,FC Dallas,19,2000,2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,bd060315
123,Thomás Chacón,uy URU,FWMF,Minnesota Utd,19,2000,4,1,173,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,1f9a7dfc
124,Maikel Chang,cu CUB,FWMF,Real Salt Lake,28,1991,19,12,1103,12.3,1,4,1,0,0,1,0,0.08,0.33,0.41,0.08,0.41,1.7,1.7,3.3,5,0.14,0.27,0.41,0.14,0.41,Matches,04cc9edd
125,Maxime Chanot,lu LUX,DF,NYCFC,30,1989,20,20,1711,19,0,0,0,0,0,4,1,0,0,0,0,0,1.5,1.5,0.5,2,0.08,0.03,0.11,0.08,0.11,Matches,ca366055
126,Jay Chapman,ca CAN,MF,Inter Miami,26,1994,8,2,204,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.05,0.1,0.15,0.05,0.15,Matches,3bb4d381
127,Diego Chará,co COL,MF,Portland Timbers,33,1986,20,20,1798,20,1,4,1,0,0,8,0,0.05,0.2,0.25,0.05,0.25,1,1,1.5,2.5,0.05,0.07,0.12,0.05,0.12,Matches,6260cc9d
128,Yimmi Chará,co COL,FWMF,Portland Timbers,28,1991,21,12,1229,13.7,4,4,4,0,0,0,0,0.29,0.29,0.59,0.29,0.59,3,3,2.6,5.6,0.22,0.19,0.41,0.22,0.41,Matches,9df9baab
129,José Cifuentes,ec ECU,MF,Los Angeles FC,20,1999,18,13,1145,12.7,1,2,1,0,0,4,0,0.08,0.16,0.24,0.08,0.24,1.5,1.5,3.4,4.9,0.12,0.26,0.38,0.12,0.38,Matches,8c8c07a7
130,Laurent Ciman,be BEL,DF,Toronto FC,34,1985,12,5,536,6,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches,5113d9a7
131,Caden Clark,us USA,FWMF,NY Red Bulls,16,2003,7,3,279,3.1,2,0,2,0,0,0,0,0.65,0,0.65,0.65,0.65,0.2,0.2,0.1,0.3,0.07,0.02,0.09,0.07,0.09,Matches,6e327d0d
132,Steve Clark,us USA,GK,Portland Timbers,33,1986,20,20,1800,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ed6320b7
133,Elliot Collier,nz NZL,FWMF,Chicago Fire,24,1995,21,2,534,5.9,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2.2,0.7,2.9,0.37,0.12,0.49,0.37,0.49,Matches,5804f03b
134,Tomás Conechny,ar ARG,MFFW,Portland Timbers,21,1998,8,3,186,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.06,0.15,0.21,0.06,0.21,Matches,f61143dd
135,Derek Cornelius,ca CAN,DF,Vancouver,22,1997,13,11,1013,11.3,0,0,0,0,0,3,0,0,0,0,0,0,0.4,0.4,0,0.4,0.04,0,0.04,0.04,0.04,Matches,577744b8
136,Joe Corona,us USA,MF,LA Galaxy,29,1990,16,12,980,10.9,1,0,1,0,0,3,1,0.09,0,0.09,0.09,0.09,1.1,1.1,1,2.1,0.1,0.09,0.2,0.1,0.2,Matches,470cd24b
137,Cade Cowell,us USA,FWMF,San Jose,16,2003,17,4,475,5.3,1,1,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,1.4,1.4,0.4,1.9,0.27,0.08,0.35,0.27,0.35,Matches,f8e95f87
138,Warren Creavalle,us USA,MF,Philadelphia,29,1990,11,4,384,4.3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches,ac4e49fa
139,Maxime Crépeau,ca CAN,GK,Vancouver,25,1994,4,4,327,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ea42e480
140,Allan Cruz,cr CRC,MFFW,FC Cincinnati,23,1996,14,8,752,8.4,1,0,1,0,0,2,0,0.12,0,0.12,0.12,0.12,1.3,1.3,1.4,2.6,0.15,0.16,0.32,0.15,0.32,Matches,030105a5
141,Emil Cuello,us USA,MFFW,LA Galaxy,23,1997,11,2,239,2.7,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.03,0.14,0.17,0.03,0.17,Matches,d22a46b4
142,Cristián Dajome,co COL,MFFW,Vancouver,26,1994,23,18,1597,17.7,3,3,3,0,0,3,0,0.17,0.17,0.34,0.17,0.34,2.7,2.7,2.9,5.5,0.15,0.16,0.31,0.15,0.31,Matches,a065e877
143,Rashawn Dally,jm JAM,FW,FC Cincinnati,23,1997,4,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07,Matches,4dc3ce03
144,Jürgen Damm,mx MEX,FWMF,Atlanta Utd,27,1992,14,7,633,7,0,3,0,0,0,1,0,0,0.43,0.43,0,0.43,0.5,0.5,1.7,2.1,0.07,0.24,0.3,0.07,0.3,Matches,bbf8bf7a
145,Mario Daniel Vega,ar ARG,GK,San Jose,35,1984,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6904a59a
146,Abu Danladi,gh GHA,FW,Nashville,24,1995,17,7,580,6.4,2,1,2,0,0,1,0,0.31,0.16,0.47,0.31,0.47,2,2,1,2.9,0.3,0.15,0.45,0.3,0.45,Matches,507383d1
147,Sean Davis,us USA,MF,NY Red Bulls,26,1993,14,13,1081,12,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.6,0.9,0.02,0.05,0.07,0.02,0.07,Matches,cb75cac9
148,Jack De Vries,us USA,MFFW,Philadelphia,17,2002,4,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,92f54859
149,Alex DeJohn,us USA,DFFW,Orlando City,28,1991,6,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2a6c024c
150,A.J. DeLaGarza,gu GUM,DF,Inter Miami,32,1987,5,5,426,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,171b3c37
151,Antonio Delamea Mlinar,si SVN,DF,New England,28,1991,5,4,320,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,31a14bb4
152,Jordy Delem,mq MTQ,MF,Seattle,26,1993,17,9,739,8.2,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.04,0.01,0.04,0.04,0.04,Matches,12e3a5f4
153,Nick DeLeon,us USA,FWMF,Toronto FC,29,1990,21,9,928,10.3,1,2,1,0,0,2,0,0.1,0.19,0.29,0.1,0.29,1.4,1.4,1.9,3.4,0.14,0.19,0.33,0.14,0.33,Matches,21490b0d
154,Marky Delgado,us USA,MF,Toronto FC,24,1995,19,18,1443,16,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,0.6,0.6,1.6,2.2,0.04,0.1,0.14,0.04,0.14,Matches,7f6a25b7
155,Mathieu Deplagne,fr FRA,DF,FC Cincinnati,28,1991,15,13,1174,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.2,0.2,0,0.02,0.02,0,0.02,Matches,ff16ecad
156,Nick DePuy,us USA,DF,LA Galaxy,25,1994,16,15,1410,15.7,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,0.6,0.6,0.4,1,0.04,0.02,0.06,0.04,0.06,Matches,ba7b4e67
157,Maikel van der Werff,nl NED,DF,FC Cincinnati,30,1989,13,11,971,10.8,0,0,0,0,0,2,0,0,0,0,0,0,0.7,0.7,0,0.7,0.06,0,0.06,0.06,0.06,Matches,36d320ec
158,Joey DeZart,us USA,MF,Orlando City,21,1998,11,4,377,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.03,0.05,0.02,0.05,Matches,9d7142a6
159,Justin Dhillon,us USA,FW,Seattle,24,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,eb8eae2c
160,Amadou Dia,us USA,DF,Sporting KC,26,1993,12,9,847,9.4,0,1,0,0,0,3,0,0,0.11,0.11,0,0.11,0.1,0.1,0.3,0.4,0.01,0.04,0.04,0.01,0.04,Matches,1650e261
161,Luis Díaz,cr CRC,FWMF,Columbus Crew,21,1998,21,14,1172,13,0,3,0,0,0,5,0,0,0.23,0.23,0,0.23,3.1,3.1,2.7,5.9,0.24,0.21,0.45,0.24,0.45,Matches,1c9838aa
162,Bakaye Dibassy,ml MLI,DF,Minnesota Utd,30,1989,11,10,859,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.4,0.9,0.05,0.04,0.09,0.05,0.09,Matches,247accfd
163,Daryl Dike,us USA,FW,Orlando City,19,2000,17,15,1217,13.5,8,2,8,0,0,0,0,0.59,0.15,0.74,0.59,0.74,3.9,3.9,0.6,4.5,0.29,0.04,0.33,0.29,0.33,Matches,d4cfc93c
164,Adama Diomande,no NOR,FW,Los Angeles FC,29,1990,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.37,0,0.37,0.37,0.37,Matches,336dbcb2
165,Clément Diop,sn SEN,GK,Montreal Impact,26,1993,20,20,1800,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0d5c0218
166,Ethan Dobbelaere,us USA,FW,Seattle,17,2002,1,1,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.09,0,0.09,0.09,0.09,Matches,1e772b7c
167,Griffin Dorsey,us USA,FW,Toronto FC,20,1999,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c182ca04
168,Jonathan dos Santos,mx MEX,MF,LA Galaxy,29,1990,13,7,702,7.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.01,0.07,0.08,0.01,0.08,Matches,91872dec
169,Thiago dos Santos,br BRA,MF,FC Dallas,30,1989,20,19,1618,18,0,0,0,0,0,8,0,0,0,0,0,0,0.8,0.8,0.9,1.6,0.04,0.05,0.09,0.04,0.09,Matches,5408d2b2
170,Hassani Dotson,us USA,MFDF,Minnesota Utd,22,1997,18,12,1214,13.5,1,1,1,0,0,2,0,0.07,0.07,0.15,0.07,0.15,1.3,1.3,0.5,1.8,0.1,0.03,0.13,0.1,0.13,Matches,8f2af1ed
171,Erik Duenas,us USA,DF,Los Angeles FC,15,2004,2,0,36,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches,6a8e0145
172,Bryce Duke,us USA,MF,Los Angeles FC,18,2001,11,2,241,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.02,0.09,0.11,0.02,0.11,Matches,59557625
173,Cameron Duke,us USA,MF,Sporting KC,18,2001,8,2,221,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.08,0.17,0.25,0.08,0.25,Matches,c679d9fd
174,Cameron Dunbar,us USA,MF,LA Galaxy,17,2002,4,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.13,0.16,0.29,0.13,0.29,Matches,a8734f4a
175,Kyle Duncan,us USA,DF,NY Red Bulls,22,1997,23,21,1908,21.2,3,2,3,0,0,3,0,0.14,0.09,0.24,0.14,0.24,1.5,1.5,3,4.5,0.07,0.14,0.21,0.07,0.21,Matches,575e6cb1
176,Chris Duvall,us USA,DF,Portland Timbers,28,1991,10,9,744,8.3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,39fae08b
177,Dom Dwyer,us USA,FW,Orlando City,29,1990,2,2,122,1.4,0,1,0,0,0,0,0,0,0.74,0.74,0,0.74,0.2,0.2,0.2,0.4,0.16,0.11,0.27,0.16,0.27,Matches,bdfc15f8
178,Jeremy Ebobisse,us USA,FWMF,Portland Timbers,22,1997,18,11,1062,11.8,8,2,8,0,0,0,0,0.68,0.17,0.85,0.68,0.85,4,4,1.2,5.1,0.34,0.1,0.43,0.34,0.43,Matches,5fa7b2ec
179,Bobby Edwards,us USA,GK,FC Cincinnati,24,1995,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,aef9f720
180,Raheem Edwards,ca CAN,FWMF,Minnesota Utd,24,1995,12,2,267,3,0,2,0,0,0,0,0,0,0.67,0.67,0,0.67,0.6,0.6,1.3,1.9,0.21,0.43,0.64,0.21,0.64,Matches,b828d56a
181,Mandela Egbo,eng ENG,DF,NY Red Bulls,22,1997,9,6,450,5,1,1,0,1,1,1,0,0.2,0.2,0.4,0,0.2,1,0.2,0.3,0.5,0.19,0.07,0.26,0.04,0.11,Matches,5603d397
182,Alberth Elis,hn HON,FW,Houston Dynamo,23,1996,6,4,377,4.2,4,3,3,1,1,2,1,0.95,0.72,1.67,0.72,1.43,4,3.3,1.1,4.4,0.96,0.26,1.22,0.79,1.05,Matches,104b4ad3
183,Jack Elliott,eng ENG,DFMF,Philadelphia,24,1995,17,10,983,10.9,1,0,1,0,0,2,0,0.09,0,0.09,0.09,0.09,0.4,0.4,0.5,0.9,0.04,0.05,0.09,0.04,0.09,Matches,041deebd
184,Tsubasa Endoh,jp JPN,MFFW,Toronto FC,26,1993,17,7,618,6.9,1,0,1,0,0,1,0,0.15,0,0.15,0.15,0.15,1.5,1.5,1.1,2.6,0.22,0.16,0.38,0.22,0.38,Matches,46dca6e8
185,Magnus Eriksson,se SWE,MF,San Jose,29,1990,5,5,450,5,1,1,0,1,1,1,0,0.2,0.2,0.4,0,0.2,1.1,0.4,0.8,1.2,0.22,0.16,0.39,0.07,0.24,Matches,5571f8b5
186,Franco Escobar,ar ARG,DF,Atlanta Utd,24,1995,16,16,1375,15.3,0,1,0,0,0,8,1,0,0.07,0.07,0,0.07,0.4,0.4,0.2,0.6,0.02,0.01,0.04,0.02,0.04,Matches,54f33d0e
187,Cristian Espinoza,ar ARG,MFFW,San Jose,24,1995,23,22,1798,20,3,7,3,0,0,3,0,0.15,0.35,0.5,0.15,0.5,2.5,2.5,6.1,8.7,0.13,0.31,0.43,0.13,0.43,Matches,9c794a80
188,Roger Espinoza,hn HON,MF,Sporting KC,33,1986,16,12,948,10.5,2,1,2,0,0,3,0,0.19,0.09,0.28,0.19,0.28,1.9,1.9,0.3,2.2,0.18,0.03,0.21,0.18,0.21,Matches,60b7c195
189,Derrick Etienne,ht HAI,FWMF,Columbus Crew,23,1996,21,8,897,10,1,2,1,0,0,0,0,0.1,0.2,0.3,0.1,0.3,1.7,1.7,1.7,3.4,0.17,0.17,0.34,0.17,0.34,Matches,59059f1e
190,Diego Fagúndez,uy URU,MFFW,New England,24,1995,19,9,970,10.8,1,0,1,0,0,2,0,0.09,0,0.09,0.09,0.09,2.6,2.6,1.4,3.9,0.24,0.13,0.37,0.24,0.37,Matches,fe81682e
191,Rod Fanni,fr FRA,DF,Montreal Impact,38,1981,12,10,947,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,Matches,28c4631c
192,Marco Farfan,us USA,DF,Portland Timbers,21,1998,14,9,856,9.5,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,Matches,cfc68595
193,Andrew Farrell,us USA,DF,New England,27,1992,20,19,1711,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01,Matches,71eda165
194,Felipe,br BRA,MF,D.C. United,29,1990,7,7,630,7,0,1,0,0,0,4,0,0,0.14,0.14,0,0.14,0.6,0.6,0.5,1.1,0.09,0.07,0.16,0.09,0.16,Matches,2415bd0a
195,Luis Felipe,br BRA,MF,San Jose,24,1996,5,2,199,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.03,0.02,0.03,Matches,a07caf31
196,Rolf Feltscher,ve VEN,DF,LA Galaxy,29,1990,17,13,1249,13.9,0,2,0,0,0,2,0,0,0.14,0.14,0,0.14,0.7,0.7,0.7,1.4,0.05,0.05,0.1,0.05,0.1,Matches,27baf026
197,Gerso Fernandes,gw GNB,FWMF,Sporting KC,28,1991,19,10,821,9.1,3,3,3,0,0,2,0,0.33,0.33,0.66,0.33,0.66,3.3,3.3,2.8,6.1,0.36,0.31,0.67,0.36,0.67,Matches,43cbe937
198,Omir Fernandez,us USA,FWMF,NY Red Bulls,20,1999,15,5,575,6.4,2,1,2,0,0,0,0,0.31,0.16,0.47,0.31,0.47,1.9,1.9,0.9,2.8,0.3,0.15,0.45,0.3,0.45,Matches,622986f0
199,Jesus Ferreira,us USA,MFFW,FC Dallas,19,2000,19,13,973,10.8,1,1,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,1.6,1.6,0.8,2.4,0.15,0.07,0.22,0.15,0.22,Matches,f61246d8
200,Carlos Fierro,mx MEX,MFFW,San Jose,25,1994,16,11,959,10.7,2,3,2,0,0,2,0,0.19,0.28,0.47,0.19,0.47,3.6,3.6,1.4,5,0.34,0.14,0.47,0.34,0.47,Matches,bbd2b6b7
201,Jorge Figal,ar ARG,DF,Inter Miami,25,1994,21,21,1742,19.4,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0.6,2.6,0.1,0.03,0.13,0.1,0.13,Matches,91e44066
202,Maynor Figueroa,hn HON,DF,Houston Dynamo,36,1983,20,19,1718,19.1,2,0,2,0,0,7,0,0.1,0,0.1,0.1,0.1,1.4,1.4,0.4,1.8,0.07,0.02,0.09,0.07,0.09,Matches,d8524b21
203,Ethan Finlay,us USA,FWMF,Minnesota Utd,29,1990,14,12,955,10.6,4,2,4,0,0,0,0,0.38,0.19,0.57,0.38,0.57,4.5,4.5,1.2,5.7,0.43,0.11,0.53,0.43,0.53,Matches,c16a59af
204,Oniel Fisher,jm JAM,DF,D.C. United,28,1991,15,6,678,7.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.02,0.03,0,0.03,Matches,ed5fdca6
205,Andrés Flores,sv SLV,FWMF,Portland Timbers,29,1990,4,3,187,2.1,1,0,1,0,0,0,0,0.48,0,0.48,0.48,0.48,0.1,0.1,0.1,0.2,0.05,0.05,0.11,0.05,0.11,Matches,67c11728
206,Edison Flores,pe PER,MFFW,D.C. United,25,1994,13,11,868,9.6,0,3,0,0,0,1,0,0,0.31,0.31,0,0.31,0.7,0.7,2,2.6,0.07,0.2,0.27,0.07,0.27,Matches,ef2c82f8
207,Anthony Fontana,us USA,MFFW,Philadelphia,20,1999,17,5,513,5.7,6,0,6,0,0,4,0,1.05,0,1.05,1.05,1.05,2.3,2.3,0.4,2.7,0.4,0.07,0.47,0.4,0.47,Matches,1f34358e
208,Andreu Fontàs,es ESP,DF,Sporting KC,30,1989,3,3,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,0.4,0.4,0,0.4,0.13,0,0.13,0.13,0.13,Matches,0f138d5a
209,Waylon Francis,cr CRC,DF,Columbus Crew,29,1990,4,2,197,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.08,0.08,0,0.08,Matches,a3a1849f
210,Przemys?aw Frankowski,pl POL,FWMF,Chicago Fire,24,1995,19,16,1455,16.2,3,1,3,0,0,1,0,0.19,0.06,0.25,0.19,0.25,4.6,4.6,2.8,7.4,0.29,0.17,0.46,0.29,0.46,Matches,00a8d210
211,Liam Fraser,ca CAN,MF,Toronto FC,21,1998,13,4,441,4.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.03,0.02,0.03,Matches,d784062b
212,Matt Freese,us USA,GK,Philadelphia,21,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2f49476c
213,Stefan Frei,ch SUI,GK,Seattle,33,1986,22,22,1980,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01,Matches,1d0a0f3e
214,Alejandro Fuenmayor,ve VEN,DF,Houston Dynamo,23,1996,5,3,302,3.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,Matches,77edb7ec
215,Gilbert Fuentes,us USA,FW,San Jose,17,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a0f5470d
216,Ray Gaddis,us USA,DF,Philadelphia,30,1990,15,15,1270,14.1,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,0.3,0.3,0.3,0.6,0.02,0.02,0.04,0.02,0.04,Matches,8348b24d
217,Tony Gallacher,sct SCO,DF,Toronto FC,20,1999,9,5,463,5.1,0,1,0,0,0,0,0,0,0.19,0.19,0,0.19,0.1,0.1,0.5,0.5,0.01,0.09,0.1,0.01,0.1,Matches,94177773
218,Jon Gallagher,ie IRL,FWMF,Atlanta Utd,23,1996,16,11,979,10.9,4,0,4,0,0,0,0,0.37,0,0.37,0.37,0.37,1.8,1.8,1.4,3.1,0.16,0.13,0.29,0.16,0.29,Matches,9d5afdfb
219,Erickson Gallardo,ve VEN,MFFW,Toronto FC,26,1993,5,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,0.08,0.19,0.26,0.08,0.26,Matches,6251c0e7
220,Pedro Gallese,pe PER,GK,Orlando City,29,1990,19,19,1710,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b76e1394
221,Braian Galván,ar ARG,FW,Colorado Rapids,19,2000,9,2,248,2.8,1,1,1,0,0,0,0,0.36,0.36,0.73,0.36,0.73,1.5,1.5,0.4,1.9,0.54,0.15,0.69,0.54,0.69,Matches,bbfbd4d3
222,Boniek García,hn HON,MF,Houston Dynamo,35,1984,18,7,824,9.2,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0.7,1.7,0.11,0.08,0.18,0.11,0.18,Matches,889ce425
223,Christopher Garcia,us USA,FW,Real Salt Lake,17,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f6390a6b
224,Greg Garza,us USA,DF,FC Cincinnati,28,1991,9,7,510,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7,0.7,0,0.13,0.13,0,0.13,Matches,5ae88d65
225,Chase Gasper,us USA,DF,Minnesota Utd,24,1996,18,16,1491,16.6,1,1,1,0,0,6,0,0.06,0.06,0.12,0.06,0.12,0.7,0.7,0.8,1.5,0.04,0.05,0.09,0.04,0.09,Matches,7371ec36
226,Carles Gil,es ESP,MFFW,New England,27,1992,6,4,366,4.1,0,1,0,0,1,0,0,0,0.25,0.25,0,0.25,1.1,0.3,1.3,1.6,0.26,0.33,0.59,0.08,0.4,Matches,11c30a46
227,Gastón Giménez,py PAR,MF,Chicago Fire,28,1991,18,17,1558,17.3,0,3,0,0,0,2,0,0,0.17,0.17,0,0.17,1.1,1.1,2,3.2,0.06,0.12,0.18,0.06,0.18,Matches,ab66cc31
228,Francisco Ginella,uy URU,MF,Los Angeles FC,21,1999,22,14,1159,12.9,1,3,1,0,0,3,0,0.08,0.23,0.31,0.08,0.31,0.6,0.6,1.6,2.2,0.05,0.13,0.17,0.05,0.17,Matches,5a28a782
229,Justen Glad,us USA,DF,Real Salt Lake,22,1997,17,14,1279,14.2,1,0,1,0,0,5,0,0.07,0,0.07,0.07,0.07,0.3,0.3,0,0.3,0.02,0,0.02,0.02,0.02,Matches,5b768b0f
230,Jakob Glesnes,no NOR,DF,Philadelphia,25,1994,19,17,1494,16.6,1,0,1,0,0,4,0,0.06,0,0.06,0.06,0.06,0.4,0.4,0.2,0.6,0.02,0.01,0.03,0.02,0.03,Matches,ac65aef3
231,Aníbal Godoy,pa PAN,MF,Nashville,29,1990,20,18,1490,16.6,1,0,1,0,0,4,0,0.06,0,0.06,0.06,0.06,1,1,0.6,1.6,0.06,0.04,0.09,0.06,0.09,Matches,2d496ca3
232,Erik Godoy,ar ARG,DF,Vancouver,26,1993,12,11,938,10.4,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,e8b80334
233,Yeimar Gómez Andrade,co COL,DF,Seattle,27,1992,19,19,1624,18,2,0,2,0,0,5,0,0.11,0,0.11,0.11,0.11,1.5,1.5,0,1.6,0.08,0,0.09,0.08,0.09,Matches,e43c8d72
234,Giancarlo González,cr CRC,DF,LA Galaxy,31,1988,10,9,754,8.4,1,0,1,0,0,1,1,0.12,0,0.12,0.12,0.12,0.2,0.2,0,0.2,0.02,0,0.02,0.02,0.02,Matches,117beb8f
235,Jesse Gonzalez,mx MEX,GK,FC Dallas,24,1995,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,203a7651
236,Omar Gonzalez,us USA,DF,Toronto FC,31,1988,23,21,1872,20.8,0,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0,0.7,0.03,0,0.03,0.03,0.03,Matches,0d2fe665
237,Leandro González Pirez,ar ARG,DF,Inter Miami,27,1992,16,16,1440,16,2,1,2,0,0,8,0,0.12,0.06,0.19,0.12,0.19,1.4,1.4,0.1,1.4,0.09,0,0.09,0.09,0.09,Matches,5ba1112c
238,Yony González,co COL,FW,LA Galaxy,25,1994,9,7,478,5.3,0,1,0,0,0,0,0,0,0.19,0.19,0,0.19,1,1,0.8,1.8,0.19,0.15,0.34,0.19,0.34,Matches,c6c88c7d
239,Ján Greguš,sk SVK,MF,Minnesota Utd,29,1991,18,18,1597,17.7,1,5,1,0,0,1,1,0.06,0.28,0.34,0.06,0.34,1.4,1.4,2.1,3.5,0.08,0.12,0.2,0.08,0.2,Matches,7d974435
240,Julian Gressel,de GER,MFDF,D.C. United,26,1993,22,19,1674,18.6,2,3,2,0,0,1,0,0.11,0.16,0.27,0.11,0.27,2.4,2.4,3.1,5.5,0.13,0.17,0.29,0.13,0.29,Matches,acd47bc0
241,Brian Gutiérrez,us USA,DFFW,Chicago Fire,16,2003,6,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,0.54,1.6,2.14,0.54,2.14,Matches,d88f31db
242,Cristián Gutiérrez,cl CHI,DFMF,Vancouver,22,1997,12,7,666,7.4,0,1,0,0,0,1,0,0,0.14,0.14,0,0.14,0,0,1.5,1.5,0,0.2,0.2,0,0.2,Matches,6e56a4f2
