,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
454,Romain Métanire,mg MAD,DF,Minnesota Utd,30,1990,29,29,2558,28.4,0,2,0,0,0,2,1,0,0.07,0.07,0,0.07,0.5,0.5,3.5,3.9,0.02,0.12,0.14,0.02,0.14,Matches,0fb21da9
455,Patrick Metcalfe,ca CAN,DFMF,Vancouver,22,1998,13,4,366,4.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,427e3820
456,Nicolás Mezquida,uy URU,MFFW,Colorado Rapids,29,1992,22,6,661,7.3,1,1,1,0,0,2,0,0.14,0.14,0.27,0.14,0.27,0.8,0.8,1.4,2.3,0.11,0.2,0.31,0.11,0.31,Matches,00b629e1
457,Benji Michel,us USA,FWMF,Orlando City,23,1997,34,19,1871,20.8,4,3,4,0,0,3,0,0.19,0.14,0.34,0.19,0.34,5.4,5.4,2,7.3,0.26,0.09,0.35,0.26,0.35,Matches,151ca25f
458,Djordje Mihailovic,us USA,MFFW,CF Montréal,22,1998,34,32,2796,31.1,4,13,4,0,0,4,0,0.13,0.42,0.55,0.13,0.55,5.3,5.3,9.9,15.1,0.17,0.32,0.49,0.17,0.49,Matches,83cf9719
459,Matko Miljevic,us USA,FWMF,CF Montréal,19,2001,5,2,141,1.6,1,0,1,0,0,0,0,0.64,0,0.64,0.64,0.64,0.1,0.1,0.4,0.6,0.08,0.28,0.36,0.08,0.36,Matches,74b76abc
460,Eric Miller,us USA,DF,Nashville,28,1993,13,12,1052,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.02,0,0.02,0.02,0.02,Matches,c0593f5d
461,Kamal Miller,ca CAN,DF,CF Montréal,23,1997,27,26,2378,26.4,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,0.5,0.5,0.4,0.9,0.02,0.01,0.03,0.02,0.03,Matches,0646bd8a
462,Tyler Miller,us USA,GK,Minnesota Utd,27,1993,30,30,2700,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7827a6b3
463,Kamohelo Mokotjo,za RSA,MF,FC Cincinnati,29,1991,13,4,462,5.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.02,0.02,0.02,Matches,7832f692
464,Kevin Molino,tt TRI,FWMF,Columbus Crew,30,1990,11,7,575,6.4,1,0,1,0,0,0,0,0.16,0,0.16,0.16,0.16,1.6,1.6,0.5,2.1,0.25,0.09,0.33,0.25,0.33,Matches,371645ca
465,Alex Monis,us USA,FW,Chicago Fire,17,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.22,0.09,0.31,0.22,0.31,Matches,66db9e72
466,Jamiro Monteiro,cv CPV,MFFW,Philadelphia,27,1993,27,26,2296,25.5,2,6,2,0,0,7,0,0.08,0.24,0.31,0.08,0.31,2.7,2.7,5.3,8,0.11,0.21,0.31,0.11,0.31,Matches,d384bddd
