,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
619,Kyle Scott,eng ENG,MF,FC Cincinnati,23,1997,4,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.06,0.09,0.15,0.06,0.15,Matches,1c24aacf
620,Dante Sealy,us USA,FWMF,FC Dallas,17,2003,6,0,68,0.8,1,0,1,0,0,0,0,1.32,0,1.32,1.32,1.32,0.6,0.6,0,0.6,0.75,0,0.75,0.75,0.75,Matches,620ae69c
621,Eddie Segura,co COL,DF,Los Angeles FC,23,1997,15,14,1284,14.3,0,1,0,0,0,0,0,0,0.07,0.07,0,0.07,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Matches,c70e3fe0
622,Chris Seitz,us USA,GK,D.C. United,33,1987,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8b388dd5
623,Amar Sejdic,us USA,MF,CF Montréal,24,1996,7,4,388,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.01,0.1,0.11,0.01,0.11,Matches,43ca2019
624,Amar Sejdic,us USA,MF,Atlanta Utd,24,1996,10,5,427,4.7,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.04,0.01,0.05,0.04,0.05,Matches,43ca2019
625,Boris Sekuli?,sk SVK,DF,Chicago Fire,29,1991,28,27,2307,25.6,2,4,2,0,0,3,0,0.08,0.16,0.23,0.08,0.23,0.9,0.9,4.7,5.5,0.03,0.18,0.22,0.03,0.22,Matches,adf26bd4
626,Brandon Servania,us USA,MF,FC Dallas,21,1999,14,11,942,10.5,0,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0.2,0.9,0.06,0.02,0.08,0.06,0.08,Matches,4d825a2d
627,Jacob Shaffelburg,ca CAN,FWMF,Toronto FC,21,1999,20,11,994,11,3,3,3,0,0,1,0,0.27,0.27,0.54,0.27,0.54,4.2,4.2,2.8,7,0.38,0.26,0.63,0.38,0.63,Matches,339a2561
628,Ryan Shawcross,eng ENG,DF,Inter Miami,33,1987,12,9,818,9.1,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0.3,0,0.3,0.03,0,0.03,0.03,0.03,Matches,285a3d44
629,Brek Shea,us USA,DFFW,Inter Miami,30,1990,30,17,1676,18.6,2,0,2,0,0,3,0,0.11,0,0.11,0.11,0.11,2.4,2.4,0.5,2.9,0.13,0.03,0.16,0.13,0.16,Matches,adb6ae24
630,Khiry Shelton,us USA,FW,Sporting KC,27,1993,31,25,2228,24.8,3,2,3,0,0,0,0,0.12,0.08,0.2,0.12,0.2,4.8,4.8,3.7,8.4,0.19,0.15,0.34,0.19,0.34,Matches,f935709c
631,Andre Shinyashiki,br BRA,FWMF,Colorado Rapids,25,1995,32,18,1429,15.9,4,2,4,0,0,4,0,0.25,0.13,0.38,0.25,0.38,5.8,5.8,3.8,9.6,0.36,0.24,0.6,0.36,0.6,Matches,8c395868
632,Bobby Shuttleworth,us USA,GK,Chicago Fire,33,1987,23,23,2070,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4598ac94
633,Marcelo Silva,uy URU,DF,Real Salt Lake,31,1989,20,20,1708,19,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0,0.3,0.01,0,0.02,0.01,0.02,Matches,b9596515
634,Luke Singh,tt TRI,DF,Toronto FC,20,2000,6,5,446,5,1,0,1,0,0,1,0,0.2,0,0.2,0.2,0.2,0.8,0.8,0,0.8,0.16,0,0.16,0.16,0.16,Matches,9ae196a0
635,Pablo Sisniega,mx MEX,GK,Los Angeles FC,25,1995,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5505570
636,Jack Skahan,us USA,MFDF,San Jose,22,1998,9,2,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.07,0.09,0.16,0.07,0.16,Matches,9c07bdc7
637,Drew Skundrich,us USA,MFFW,D.C. United,25,1995,20,11,1149,12.8,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,1.3,1.3,0.7,2,0.11,0.05,0.16,0.11,0.16,Matches,51f50135
638,Gaga Slonina,us USA,GK,Chicago Fire,16,2004,11,11,990,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c55a846e
639,Brad Smith,au AUS,DF,Seattle,26,1994,27,20,1627,18.1,3,4,3,0,0,1,0,0.17,0.22,0.39,0.17,0.39,2,2,2.4,4.5,0.11,0.13,0.25,0.11,0.25,Matches,c76c717c
640,Kimarni Smith,eng ENG,FW,D.C. United,22,1998,3,1,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.11,0,0.11,0.11,0.11,Matches,bbbb244b
641,Kyle Smith,us USA,DF,Orlando City,29,1992,27,21,1793,19.9,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,0.9,0.9,0.8,1.7,0.04,0.04,0.08,0.04,0.08,Matches,9e6b2ec3
642,Erik Sorga,ee EST,FW,D.C. United,21,1999,4,3,249,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.14,0.05,0.19,0.14,0.19,Matches,02ba67a2
643,Santiago Sosa,ar ARG,MFDF,Atlanta Utd,21,1999,25,25,2196,24.4,0,0,0,0,0,8,0,0,0,0,0,0,0.7,0.7,1.3,2,0.03,0.05,0.08,0.03,0.08,Matches,f080dd22
644,Yeferson Soteldo,ve VEN,FW,Toronto FC,23,1997,24,19,1737,19.3,3,6,3,0,2,5,0,0.16,0.31,0.47,0.16,0.47,5.9,4.4,4.2,8.6,0.31,0.22,0.53,0.23,0.45,Matches,bbb6c951
645,Omar Sowe,gm GAM,FW,NY Red Bulls,20,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,310fd6d8
646,Dayne St. Clair,ca CAN,GK,Minnesota Utd,23,1997,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,3f41d25f
647,Mason Stajduhar,us USA,GK,Orlando City,23,1997,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f01df62c
648,Caleb Stanko,us USA,MFDF,FC Cincinnati,27,1993,20,12,1170,13,0,0,0,0,0,6,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches,381e52af
649,Aedan Stanley,us USA,DF,Austin,21,1999,9,2,233,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02,Matches,61cd3bcf
650,Daniel Steres,us USA,DF,LA Galaxy,30,1990,18,13,1137,12.6,0,2,0,0,0,1,0,0,0.16,0.16,0,0.16,1.3,1.3,0.7,2,0.1,0.05,0.15,0.1,0.15,Matches,17c03c76
651,Luka Stojanovi?,rs SRB,MF,Chicago Fire,27,1994,27,15,1347,15,8,1,8,0,0,3,0,0.53,0.07,0.6,0.53,0.6,5.6,5.6,1.8,7.4,0.37,0.12,0.49,0.37,0.49,Matches,1a892191
652,Jared Stroud,us USA,FWMF,Austin,24,1996,22,13,1164,12.9,1,4,1,0,0,5,0,0.08,0.31,0.39,0.08,0.39,2.3,2.3,3.1,5.4,0.18,0.24,0.42,0.18,0.42,Matches,5d018899
653,Aljaž Struna,si SVN,DF,CF Montréal,30,1990,18,16,1433,15.9,1,0,1,0,0,6,0,0.06,0,0.06,0.06,0.06,0.2,0.2,0.3,0.5,0.01,0.02,0.03,0.01,0.03,Matches,b82c2982
654,Brad Stuver,us USA,GK,Austin,29,1991,33,33,2970,33,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6a1940d5
655,Quinn Sullivan,us USA,FWMF,Philadelphia,16,2004,21,4,538,6,2,2,2,0,0,1,0,0.33,0.33,0.67,0.33,0.67,1.2,1.2,0.8,2,0.21,0.13,0.34,0.21,0.34,Matches,92f62cfe
656,Hunter Sulte,us USA,GK,Portland Timbers,18,2002,2,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,92823044
657,Ben Sweat,us USA,DF,Austin,29,1991,2,2,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches,6937b1ac
658,Ballou Tabla,ca CAN,DFMF,CF Montréal,21,1999,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.53,0.37,0.9,0.53,0.9,Matches,018bd079
659,Nkosi Tafari,us USA,DF,FC Dallas,23,1997,22,21,1824,20.3,1,1,1,0,0,1,0,0.05,0.05,0.1,0.05,0.1,0.7,0.7,0.7,1.3,0.03,0.03,0.07,0.03,0.07,Matches,4a07ae31
660,Ismael Tajouri-Shradi,ly LBY,FWMF,NYCFC,26,1994,23,14,1230,13.7,7,0,7,0,0,2,0,0.51,0,0.51,0.51,0.51,4.8,4.8,2.3,7.1,0.35,0.17,0.52,0.35,0.52,Matches,ef4249ff
661,Andrew Tarbell,us USA,GK,Austin,27,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c5487a34
662,Amro Tarek,eg EGY,DF,NY Red Bulls,28,1992,13,10,864,9.6,0,0,0,0,0,4,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.04,0.01,0.06,0.04,0.06,Matches,52c930c0
663,D.J. Taylor,us USA,DF,Minnesota Utd,23,1997,8,6,624,6.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.4,0.4,0.01,0.05,0.06,0.01,0.06,Matches,ed4dc7f4
664,Russell Teibert,ca CAN,MF,Vancouver,28,1992,33,29,2414,26.8,1,2,1,0,0,1,0,0.04,0.07,0.11,0.04,0.11,0.3,0.3,2.3,2.7,0.01,0.09,0.1,0.01,0.1,Matches,674befe9
665,Carlos Terán,co COL,DF,Chicago Fire,20,2000,13,11,976,10.8,1,0,1,0,0,5,0,0.09,0,0.09,0.09,0.09,0.4,0.4,1.1,1.4,0.04,0.1,0.13,0.04,0.13,Matches,32450900
666,Tanner Tessmann,us USA,MF,FC Dallas,19,2001,7,6,449,5,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0.03,0.06,0.09,0.03,0.09,Matches,ac277993
667,Thiago,br BRA,FW,NYCFC,20,2000,21,9,972,10.8,4,1,4,0,0,3,1,0.37,0.09,0.46,0.37,0.46,2.8,2.8,1,3.7,0.26,0.09,0.35,0.26,0.35,Matches,6adb0b79
668,Tommy Thompson,us USA,DF,San Jose,25,1995,14,12,743,8.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1,1.1,0,0.14,0.14,0,0.14,Matches,5f6c69d8
669,Anton Tinnerholm,se SWE,DF,NYCFC,29,1991,25,23,2009,22.3,0,3,0,0,0,2,0,0,0.13,0.13,0,0.13,1,1,2.9,3.9,0.05,0.13,0.17,0.05,0.17,Matches,0fe96099
670,Donny Toia,us USA,DF,Real Salt Lake,28,1992,19,15,1321,14.7,0,0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,0.3,0.9,0.05,0.02,0.06,0.05,0.06,Matches,d286f965
671,John Tolkin,us USA,DFMF,NY Red Bulls,18,2002,28,22,1989,22.1,1,1,1,0,0,2,0,0.05,0.05,0.09,0.05,0.09,0.9,0.9,1.7,2.6,0.04,0.08,0.12,0.04,0.12,Matches,5e88c524
672,Nouhou Tolo,cm CMR,DF,Seattle,23,1997,19,16,1461,16.2,0,0,0,0,0,5,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0.03,0.01,0.04,0.03,0.04,Matches,0796512f
673,Erick Torres,mx MEX,FW,Atlanta Utd,28,1993,20,7,628,7,0,0,0,0,0,3,0,0,0,0,0,0,1.2,1.2,0.4,1.6,0.18,0.05,0.23,0.18,0.23,Matches,b7f98460
674,Joaquín Torres,ar ARG,FWMF,CF Montréal,24,1997,28,22,1887,21,4,5,4,0,0,0,0,0.19,0.24,0.43,0.19,0.43,3.7,3.7,3.2,6.9,0.18,0.15,0.33,0.18,0.33,Matches,c82dcb70
675,Dantouma Toure,gn GUI,FW,Colorado Rapids,16,2004,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b5d2014f
676,Mason Toye,us USA,FW,CF Montréal,22,1998,14,10,889,9.9,7,0,5,2,2,1,0,0.71,0,0.71,0.51,0.51,6.1,4.6,1.2,5.7,0.61,0.12,0.73,0.46,0.58,Matches,0aa41f67
677,Wil Trapp,us USA,MF,Minnesota Utd,28,1993,31,31,2729,30.3,1,1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,0.6,0.6,1.7,2.3,0.02,0.06,0.08,0.02,0.08,Matches,9bf9391c
678,Auston Trusty,us USA,DF,Colorado Rapids,22,1998,33,33,2970,33,1,0,1,0,0,4,0,0.03,0,0.03,0.03,0.03,1.2,1.2,0.9,2.1,0.04,0.03,0.06,0.04,0.06,Matches,cddf767b
679,Bill Tuiloma,nz NZL,DF,Portland Timbers,25,1995,27,19,1808,20.1,1,1,1,0,0,5,1,0.05,0.05,0.1,0.05,0.1,1.2,1.2,0.3,1.5,0.06,0.01,0.07,0.06,0.07,Matches,bf547c54
680,Cole Turner,us USA,DF,Philadelphia,19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,30ec7b37
681,Matt Turner,us USA,GK,New England,26,1994,28,28,2520,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4a51ba65
682,Ema Twumasi,gh GHA,DF,FC Dallas,23,1997,23,19,1702,18.9,0,0,0,0,0,7,0,0,0,0,0,0,0.3,0.3,0.9,1.2,0.02,0.05,0.07,0.02,0.07,Matches,9ca4b140
683,Przemys?aw Tyto?,pl POL,GK,FC Cincinnati,34,1987,15,14,1286,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1fa85681
684,Victor Ulloa,us USA,MFDF,Inter Miami,28,1992,21,14,1241,13.8,0,2,0,0,0,2,0,0,0.15,0.15,0,0.15,0.5,0.5,0.5,1,0.04,0.04,0.07,0.04,0.07,Matches,e7056f05
685,Maximiliano Urruti,ar ARG,FW,Houston Dynamo,29,1991,30,25,2240,24.9,7,1,7,0,0,4,0,0.28,0.04,0.32,0.28,0.32,6.7,6.7,1.9,8.6,0.27,0.08,0.35,0.27,0.35,Matches,6c8fb474
686,Júnior Urso,br BRA,MF,Orlando City,31,1989,30,29,2485,27.6,4,0,4,0,0,7,0,0.14,0,0.14,0.14,0.14,3.9,3.9,1.6,5.4,0.14,0.06,0.2,0.14,0.2,Matches,b40424f1
687,Zarek Valentin,pr PUR,DF,Houston Dynamo,29,1991,29,28,2397,26.6,0,1,0,0,0,5,0,0,0.04,0.04,0,0.04,0.1,0.1,0.9,1.1,0,0.04,0.04,0,0.04,Matches,f0d23e7b
688,Milton Valenzuela,ar ARG,DF,Columbus Crew,22,1998,14,12,871,9.7,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.5,0.6,0.02,0.05,0.07,0.02,0.07,Matches,82318d24
689,Diego Valeri,ar ARG,MFFW,Portland Timbers,34,1986,29,10,1231,13.7,2,1,1,1,2,6,0,0.15,0.07,0.22,0.07,0.15,4.2,2.7,3.7,6.4,0.31,0.27,0.58,0.2,0.47,Matches,31da63ad
690,Gustavo Vallecilla,ec ECU,DF,FC Cincinnati,21,1999,25,25,1997,22.2,2,0,2,0,0,7,0,0.09,0,0.09,0.09,0.09,0.8,0.8,0.1,1,0.04,0.01,0.04,0.04,0.04,Matches,2ce88662
691,Florian Valot,fr FRA,MFDF,NY Red Bulls,27,1993,3,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ad454d78
692,Florian Valot,fr FRA,MFFW,FC Cincinnati,27,1993,9,4,329,3.7,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.09,0.05,0.14,0.09,0.14,Matches,ad454d78
693,José Van Rankin,mx MEX,DF,Portland Timbers,27,1993,33,27,2448,27.2,0,2,0,0,0,4,0,0,0.07,0.07,0,0.07,1.2,1.2,1.2,2.4,0.04,0.04,0.09,0.04,0.09,Matches,09ce2ebe
694,Freddy Vargas,ve VEN,FW,FC Dallas,21,1999,13,7,536,6,0,0,0,0,0,2,0,0,0,0,0,0,0.7,0.7,1.1,1.8,0.11,0.18,0.29,0.11,0.29,Matches,3c1e61cf
695,Obed Vargas,us USA,FW,Seattle,15,2005,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9cc1fde4
696,Indiana Vassilev,us USA,FWMF,Inter Miami,19,2001,21,7,801,8.9,3,0,3,0,0,0,0,0.34,0,0.34,0.34,0.34,1.6,1.6,0.4,2,0.18,0.05,0.23,0.18,0.23,Matches,04e195ee
697,Brandon Vazquez,us USA,FW,FC Cincinnati,22,1998,31,6,851,9.5,4,3,4,0,0,2,0,0.42,0.32,0.74,0.42,0.74,4,4,1.8,5.8,0.42,0.19,0.61,0.42,0.61,Matches,c570cf22
698,Víctor Vázquez,es ESP,MFFW,LA Galaxy,34,1987,28,21,1625,18.1,3,5,3,0,0,1,0,0.17,0.28,0.44,0.17,0.44,1.7,1.7,6,7.7,0.09,0.33,0.43,0.09,0.43,Matches,6c564d36
699,Carlos Vela,mx MEX,FW,Los Angeles FC,31,1989,20,15,1267,14.1,5,5,5,0,1,0,0,0.36,0.36,0.71,0.36,0.71,6.7,5.9,4.8,10.7,0.47,0.34,0.81,0.42,0.76,Matches,e0cd04e0
700,Matías Vera,ar ARG,MF,Houston Dynamo,25,1995,30,29,2451,27.2,3,1,3,0,0,9,0,0.11,0.04,0.15,0.11,0.15,3.1,3.1,1.7,4.8,0.11,0.06,0.17,0.11,0.17,Matches,fe529f25
701,Kenneth Vermeer,nl NED,GK,FC Cincinnati,35,1986,19,19,1684,18.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6,0.6,0,0.03,0.03,0,0.03,Matches,22a94b80
702,Ranko Veselinovi?,rs SRB,DF,Vancouver,21,1999,27,22,1996,22.2,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,1.6,1.6,0.3,1.8,0.07,0.01,0.08,0.07,0.08,Matches,366609b6
703,Jorge Villafaña,us USA,DF,LA Galaxy,31,1989,21,20,1695,18.8,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.01,0.03,0.04,0.01,0.04,Matches,32337fb2
704,Alex Villanueva,us USA,DFFW,Seattle,18,2002,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c168f022
705,Sam Vines,us USA,DF,Colorado Rapids,21,1999,8,8,719,8,1,1,1,0,0,1,0,0.13,0.13,0.25,0.13,0.25,0.8,0.8,0.8,1.5,0.1,0.1,0.19,0.1,0.19,Matches,2d6e535f
706,Kai Wagner,de GER,DF,Philadelphia,23,1997,33,31,2838,31.5,3,4,3,0,0,9,1,0.1,0.13,0.22,0.1,0.22,1.1,1.1,4,5.2,0.04,0.13,0.16,0.04,0.16,Matches,fdc715d9
707,Anton Walkes,eng ENG,DF,Atlanta Utd,23,1997,33,32,2773,30.8,2,1,2,0,0,6,0,0.06,0.03,0.1,0.06,0.1,0.9,0.9,0.1,0.9,0.03,0,0.03,0.03,0.03,Matches,8a062bba
708,Rémi Walter,fr FRA,MF,Sporting KC,25,1995,28,23,1894,21,1,1,1,0,0,2,1,0.05,0.05,0.1,0.05,0.1,1.3,1.3,0.7,2,0.06,0.03,0.09,0.06,0.09,Matches,0984c5d5
709,Victor Wanyama,ke KEN,MF,CF Montréal,29,1991,27,27,2361,26.2,2,0,1,1,1,8,1,0.08,0,0.08,0.04,0.04,2.8,2,0.7,2.7,0.11,0.03,0.13,0.08,0.1,Matches,e0900238
710,Collen Warner,us USA,MF,Colorado Rapids,32,1988,16,11,873,9.7,1,0,1,0,0,7,0,0.1,0,0.1,0.1,0.1,0.3,0.3,0.9,1.2,0.03,0.09,0.12,0.03,0.12,Matches,75babbce
711,Taylor Washington,us USA,DF,Nashville,27,1993,17,12,1031,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,0,0.1,0.1,0,0.1,Matches,480d3bcc
712,Joel Waterman,ca CAN,DF,CF Montréal,25,1996,22,21,1851,20.6,0,2,0,0,0,5,0,0,0.1,0.1,0,0.1,0,0,0.3,0.3,0,0.02,0.02,0,0.02,Matches,47ddcc22
713,Patrick Weah,lr LBR,FW,Minnesota Utd,17,2003,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1.05,0,1.05,1.05,1.05,Matches,ae2ee5a5
714,Quentin Westberg,us USA,GK,Toronto FC,34,1986,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5480ae05
715,Brian White,us USA,MFFW,NY Red Bulls,24,1996,5,3,194,2.2,0,1,0,0,0,0,0,0,0.46,0.46,0,0.46,0.2,0.2,0.2,0.4,0.08,0.08,0.16,0.08,0.16,Matches,54c948de
716,Brian White,us USA,FW,Vancouver,24,1996,27,23,1915,21.3,12,5,12,0,0,2,0,0.56,0.23,0.8,0.56,0.8,9.1,9.1,2.7,11.8,0.43,0.13,0.55,0.43,0.55,Matches,54c948de
717,Augustine Williams,sl SLE,FW,LA Galaxy,23,1997,7,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1,0.09,0.88,0.97,0.09,0.97,Matches,8bb1c744
718,Derrick Williams,ie IRL,DF,LA Galaxy,28,1993,21,20,1667,18.5,0,2,0,0,0,2,1,0,0.11,0.11,0,0.11,0.9,0.9,0.3,1.3,0.05,0.02,0.07,0.05,0.07,Matches,c0a28fbd
719,Josh Williams,us USA,DF,Columbus Crew,32,1988,18,14,1365,15.2,0,0,0,0,0,3,0,0,0,0,0,0,0.9,0.9,0,1,0.06,0,0.06,0.06,0.06,Matches,06098bfc
720,Eryk Williamson,us USA,MF,Portland Timbers,23,1997,14,11,949,10.5,1,2,1,0,0,1,0,0.09,0.19,0.28,0.09,0.28,0.9,0.9,1.4,2.3,0.08,0.14,0.22,0.08,0.22,Matches,e0364352
721,Joe Willis,us USA,GK,Nashville,32,1988,34,34,3060,34,0,1,0,0,0,1,0,0,0.03,0.03,0,0.03,0,0,0.2,0.2,0,0.01,0.01,0,0.01,Matches,467f09c8
722,Danny Wilson,sct SCO,DF,Colorado Rapids,29,1991,29,29,2450,27.2,2,0,2,0,0,8,1,0.07,0,0.07,0.07,0.07,1.3,1.3,0.2,1.4,0.05,0.01,0.05,0.05,0.05,Matches,9cfe9254
723,Owen Wolff,us USA,MFFW,Austin,16,2004,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9edc70d6
724,Tyler Wolff,us USA,MFFW,Atlanta Utd,17,2003,7,2,226,2.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02,Matches,0985c282
725,Chris Wondolowski,us USA,FWMF,San Jose,38,1983,32,9,1258,14,5,0,5,0,1,2,1,0.36,0,0.36,0.36,0.36,6.7,5.9,1.4,7.3,0.48,0.1,0.58,0.42,0.52,Matches,37f46eda
726,Bobby Wood,us USA,FWMF,Real Salt Lake,28,1992,17,7,620,6.9,2,1,2,0,0,0,0,0.29,0.15,0.44,0.29,0.44,2.1,2.1,0.7,2.8,0.31,0.09,0.4,0.31,0.4,Matches,9853983f
727,Vito Wormgoor,nl NED,DF,Columbus Crew,32,1988,17,16,1287,14.3,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches,31d7acd1
728,Bradley Wright-Phillips,eng ENG,FW,Columbus Crew,35,1985,21,6,658,7.3,1,0,1,0,0,0,0,0.14,0,0.14,0.14,0.14,1.5,1.5,0.8,2.3,0.21,0.11,0.32,0.21,0.32,Matches,9bb42ab8
729,William Yarbrough,us USA,GK,Colorado Rapids,31,1989,33,33,2970,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ec646e88
730,Dru Yearwood,eng ENG,MF,NY Red Bulls,20,2000,29,18,1689,18.8,1,1,1,0,0,9,1,0.05,0.05,0.11,0.05,0.11,1.3,1.3,1.2,2.5,0.07,0.07,0.13,0.07,0.13,Matches,2eb09121
731,Griffin Yow,us USA,DFFW,D.C. United,18,2002,11,1,240,2.7,1,1,1,0,0,0,0,0.37,0.37,0.75,0.37,0.75,0.3,0.3,0.7,0.9,0.1,0.26,0.35,0.1,0.35,Matches,ddd5cf39
732,Jackson Yueill,us USA,MF,San Jose,23,1997,29,28,2557,28.4,3,0,3,0,0,1,0,0.11,0,0.11,0.11,0.11,3.5,3.5,1.1,4.6,0.12,0.04,0.16,0.12,0.16,Matches,7dce16bf
733,Renzo Zambrano,ve VEN,MF,Portland Timbers,26,1994,14,6,591,6.6,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches,526bf96c
734,Gyasi Zardes,us USA,FW,Columbus Crew,29,1991,21,18,1558,17.3,9,0,9,0,0,0,0,0.52,0,0.52,0.52,0.52,6.5,6.5,1.4,7.9,0.37,0.08,0.46,0.37,0.46,Matches,09ae7f92
735,Eriq Zavaleta,sv SLV,DF,Toronto FC,28,1992,14,12,1017,11.3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,edbfbb3f
736,Gedion Zelalem,us USA,MF,NYCFC,24,1997,7,1,102,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,b15ac68f
737,Lucas Zelarayán,am ARM,MF,Columbus Crew,28,1992,32,28,2622,29.1,12,4,11,1,1,1,0,0.41,0.14,0.55,0.38,0.51,6.5,5.7,5.4,11.1,0.22,0.18,0.41,0.2,0.38,Matches,3ce30893
738,Walker Zimmerman,us USA,DF,Nashville,27,1993,25,22,2042,22.7,3,2,3,0,0,2,0,0.13,0.09,0.22,0.13,0.22,2.2,2.2,0.8,2.9,0.09,0.03,0.13,0.09,0.13,Matches,220fa883
739,Rida Zouhir,ca CAN,MF,CF Montréal,17,2003,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e1e65f24
740,Ethan Zubak,us USA,FWMF,LA Galaxy,22,1998,18,6,671,7.5,1,1,1,0,0,0,0,0.13,0.13,0.27,0.13,0.27,1.3,1.3,0.8,2.1,0.17,0.11,0.28,0.17,0.28,Matches,9f39b6cf
