Season,Player,Nation,Pos,Age,fbref_ID
2022,Cristián Dajome,COL,DFMF,28,a065e877
2022,Jesús Daniel Bueno,VEN,MF,23,b5687b08
2022,Abu Danladi,GHA,FWMF,27,507383d1
2022,Bode Davis,USA,MFDF,20,891f8b82
2022,Jake Davis,USA,MF,20,79d3a503
2022,Sean Davis,USA,MF,29,cb75cac9
2022,Miloš Degenek,AUS,DF,28,c8e65157
2022,Alex DeJohn,USA,DF,31,2a6c024c
2022,A.J. DeLaGarza,GUM,DFMF,34,171b3c37
2022,Marky Delgado,USA,MF,27,7f6a25b7
2022,Nick DePuy,USA,DF,27,ba7b4e67
2022,Silvester van der Water,NED,FWMF,26,5d83500d
2022,Joey DeZart,USA,DF,24,9d7142a6
2022,Luis Díaz,CRC,FW,23,1c9838aa
2022,Bakaye Dibassy,MLI,DF,33,247accfd
2022,Clément Diop,SEN,GK,29,0d5c0218
2022,Sofiane Djeffal,FRA,MF,23,29d85f83
2022,Moussa Djitte,SEN,FW,23,627b570a
2022,Ethan Dobbelaere,USA,DFFW,19,1e772b7c
2022,Cecilio Domínguez,PAR,FWMF,28,3162d667
2022,Christopher Donovan,USA,FWMF,22,8f995d10
2022,Griffin Dorsey,USA,DF,23,c182ca04
2022,Hassani Dotson,USA,DFMF,25,8f2af1ed
2022,Sebastián Driussi,ARG,MFFW,26,60e86875
2022,Bryce Duke,USA,MF,21,59557625
2022,Cameron Duke,USA,MFDF,21,c679d9fd
2022,Kyle Duncan,USA,DF,25,575e6cb1
2022,Jáder Durán,COL,FW,18,414184f7
2022,Chris Durkin,USA,MF,22,0ffd4373
2022,Dom Dwyer,USA,FW,32,bdfc15f8
2022,Jeremy Ebobisse,USA,FW,25,5fa7b2ec
2022,Daniel Edelman,USA,MF,19,a8de0bd5
2022,Javier Eduardo López,MEX,MFFW,28,f851b52f
2022,Earl Edwards Jr.,USA,GK,30,10f6f942
2022,Raheem Edwards,CAN,DF,27,b828d56a
2022,Tom Edwards,ENG,DF,23,1b780599
2022,Jack Elliott,ENG,DF,27,041deebd
2022,Kalil ElMedkhar,USA,FWMF,23,272c1aaf
2022,Franco Escobar,ARG,DF,27,54f33d0e
2022,Adam Esparza,USA,MF,20,ca135560
2022,Cristian Espinoza,ARG,FWMF,27,9c794a80
2022,Jhon Espinoza,ECU,DFFW,23,79666d5a
2022,Roger Espinoza,HON,MF,35,60b7c195
2022,Lucas Esteves,BRA,DF,22,c6ec0258
2022,Michael Estrada,ECU,FW,26,773f5f12
2022,Derrick Etienne,HAI,FW,25,59059f1e
2022,Diego Fagúndez,URU,FWMF,27,fe81682e
2022,Mamadou Fall,SEN,DF,19,805a2a11
2022,Marco Farfan,USA,DF,23,cfc68595
2022,Andrew Farrell,USA,DF,30,71eda165
2022,Mohamed Farsi,CAN,DFFW,22,81039302
2022,Felipe,BRA,MFFW,32,2415bd0a
2022,Thiago Fernandes,BRA,FWMF,21,e3550df1
2022,Omir Fernandez,USA,MFFW,23,622986f0
2022,Jesus Ferreira,USA,FWMF,21,f61246d8
2022,Sebastián Ferreira,PAR,FW,24,5439dba0
2022,Stuart Findlay,SCO,DF,27,edffe99a
2022,Ethan Finlay,USA,FWMF,32,c16a59af
