Season,Player,Nation,Pos,Age,fbref_ID
2022,Sean Nealis,USA,DF,25,8c1b17b3
2022,Jayden Nelson,CAN,MFFW,20,92305a81
2022,John Nelson,USA,DF,24,df8c4d49
2022,Michael Nelson,USA,GK,27,f4a12161
2022,Jake Nerwinski,USA,DF,28,2b5801d0
2022,Harvey Neville,ENG,DF,20,92442794
2022,Serge Ngoma,USA,FWMF,17,de7a0fe6
2022,Sam Nicholson,SCO,MFFW,27,8c8ac996
2022,Jaros?aw Niezgoda,POL,FW,27,60c659b6
2022,Tsiki Ntsabeleng,RSA,MF,24,bcbc53d5
2022,Obinna Nwobodo,NGA,MF,25,897c8066
2022,Moses Nyeman,USA,MF,18,09d33255
2022,Shane O'Neill,USA,DF,29,a62a56b4
2022,Kevin O'Toole,USA,FWDF,23,72a0f655
2022,Jáder Obrian,COL,FW,27,1471b2a8
2022,David Ochoa,USA,GK,21,dba6b279
2022,Chris Odoi-Atsem,USA,DF,27,375ec69e
2022,Chinonso Offor,NGA,FW,22,dc590664
2022,Braian Ojeda,PAR,MF,22,60953af0
2022,Noble Okello,CAN,MF,22,6bc16162
2022,Wyatt Omsberg,USA,DF,27,cd44ba68
2022,Easton Ongaro,CAN,FW,24,8d3dd05f
2022,Kwadwo Opoku,GHA,FWMF,21,226a288e
2022,Arquimides Ordonez,GUA,FWMF,19,8941d9b2
2022,Sergio Oregel,USA,MF,17,f6c6ff09
2022,Jaziel Orozco,USA,DF,18,46af4656
2022,Christian Ortiz,ARG,MFFW,30,bd8ddbd6
2022,Jonathan Osorio,CAN,MF,30,70106ff6
2022,Bryan Oviedo,CRC,DFMF,32,31faf295
2022,Leonard Owusu,GHA,MF,25,a06c6c8a
2022,Maarten Paes,NED,GK,24,eb343262
2022,Diego Palacios,ECU,DF,23,6ec37f2e
2022,Victor Pálsson,ISL,MFDF,31,831cf3ac
2022,Elliot Panicco,USA,GK,25,e93972ac
2022,James Pantemis,CAN,GK,25,901408ac
2022,Cristhian Paredes,PAR,MF,24,0d8a2551
2022,Tim Parker,USA,DF,29,4988a44d
2022,Keaton Parks,USA,MF,25,77986763
2022,Tyler Pasher,CAN,FW,28,3a7bec1b
2022,Alexandre Pato,BRA,FWMF,33,7dd83c7d
2022,João Paulo Mior,BRA,MF,31,b96aa1d6
2022,Matías Pellegrini,ARG,DF,22,b59f0060
2022,Jason Pendant,FRA,DF,25,22fe9049
2022,Andrés Perea,USA,MF,21,7e1dbecf
2022,Daniel Pereira,VEN,MF,22,b8862e65
2022,Gabriel Pereira,BRA,FW,21,60c4ac82
2022,Mauricio Pereyra,URU,MF,32,f45eb18d
2022,Adrien Perez,USA,MF,27,298a167b
2022,Jonathan Perez,MEX,DF,19,41e57408
2022,Jordan Perruzza,CAN,FWMF,21,edc8791f
2022,Luca Petrasso,CAN,DFFW,22,fafeaf3d
2022,?or?e Petrovi?,SRB,GK,23,0cf321c8
2022,Fafà Picault,USA,FWMF,31,dbaa10c0
2022,Kayden Pierre,USA,DF,19,2f5f098b
2022,Samuel Piette,CAN,MF,27,bc33c73b
2022,Mauricio Pineda,USA,MFDF,25,e0c17cde
2022,Donovan Pines,USA,DF,24,7bd25363
2022,Matt Polster,USA,MF,29,d1d418f8
2022,Paxton Pomykal,USA,MF,22,c1f0fb45
2022,Alvas Powell,JAM,DF,28,2f91124d
2022,Alejandro Pozuelo,ESP,MFFW,31,5e1280ff
2022,Jack Price,ENG,MF,29,6217c92d
2022,Ralph Priso-Mbongue,CAN,MF,20,acb3e899
2022,Kacper Przyby?ko,POL,FW,29,4c53a714
2022,Riqui Puig,ESP,MF,23,f090a37a
2022,John Pulskamp,USA,GK,21,6b306c92
2022,Facundo Quignon,ARG,MF,29,5b33b84c
2022,Nelson Quiñones,COL,FW,20,a295f0b3
2022,Joshué Quiñónez,ECU,DF,22,c7305b1d
2022,Darwin Quintero,COL,MFFW,35,0cc00553
2022,Jairo Quinteros,BOL,DF,21,8363a7e8
2022,Romell Quioto,HON,FW,31,122e850d
2022,Jackson Ragen,USA,DF,24,a3d67f70
2022,Brooklyn Raines,USA,MF,17,b4caa0c5
2022,Ryan Raposo,CAN,DF,23,f006a9b3
2022,Justin Rasmussen,USA,DF,23,989ecf23
2022,Rayan Raveloson,MAD,MF,25,fb3236a7
2022,Matthew Real,USA,DFMF,23,1c2c030a
2022,Rodney Redes,PAR,FWMF,22,426c3982
2022,Benjamin Redzic,USA,MFFW,20,ea8087aa
2022,Pierre Reedy,USA,MF,24,903f2d95
2022,Eric Remedi,ARG,MF,27,38e2cbd6
2022,Justin Rennicks,USA,FW,23,0aaa1c04
2022,Ben Reveno,USA,MF,23,6f0a801a
2022,Andrés Reyes,COL,DF,23,36ab14f5
2022,Yordy Reyna,PER,FWMF,29,eec316d9
2022,Andre Reynolds II,USA,FWDF,21,d46dbe4f
2022,Emanuel Reynoso,ARG,MFFW,26,614b26e3
2022,Spencer Richey,USA,GK,30,d9178ea2
2022,Will Richmond,USA,FW,22,e46ee2e9
2022,Tosaint Ricketts,CAN,FWMF,35,54769358
2022,Emiliano Rigoni,ARG,FW,29,a1216563
2022,Alexander Ring,FIN,MF,31,6c1221d6
2022,Rocco Ríos Novo,ARG,GK,20,f59bd2d3
2022,Damien Rivera,USA,FWMF,19,2822f3dd
2022,Nigel Robertha,NED,FWMF,24,a94bad97
2022,Miles Robinson,USA,DF,25,782a95d9
2022,Robbie Robinson,USA,FWMF,23,e0dae99f
2022,Harrison Robledo,USA,MFDF,20,1f36ce15
2022,Rodrigues,BRA,DF,25,67f5e064
2022,Abraham Rodriguez,USA,GK,20,c7e14787
2022,Brian Rodríguez,URU,FW,22,c86041d7
2022,Emerson Rodríguez,COL,FWMF,22,09e5ae16
2022,Martín Rodríguez,CHI,FWMF,28,c075b5f0
2022,Memo Rodriguez,USA,MFFW,26,fc6c6b2b
2022,Santiago Rodríguez,URU,MFFW,22,86dff811
2022,Alex Roldan,SLV,DF,26,1255a82a
2022,Cristian Roldan,USA,FWMF,27,48875649
2022,Jhohan Romaña,COL,DF,24,4e32c2d6
2022,David Romney,USA,DF,29,b7b6e781
2022,Rafael Romo,VEN,GK,32,8827c189
2022,Eloy Room,CUW,GK,33,6b33d86b
2022,Joseph Rosales,HON,MF,21,6a29d06b
2022,Oriol Rosell,ESP,MF,30,2a17ef3e
2022,Keegan Rosenberry,USA,DF,28,f940c69e
2022,Matheus Rossetto,BRA,MF,26,daf8c775
2022,Paul Rothrock,USA,FW,23,875e8269
2022,Kelyn Rowe,USA,DFMF,30,cf928adb
2022,Ruan,BRA,DF,27,f2665f7c
2022,Rubio Rubin,GUA,FW,26,9bad7100
2022,Diego Rubio,CHI,MFFW,29,3f082234
2022,Raúl Ruidíaz,PER,FW,32,7a4296e1
2022,Pablo Ruíz,ARG,MF,23,7368cd70
2022,Sergio Ruiz,ESP,MF,27,1f423a54
2022,Albert Rusnák,SVK,MF,28,0adeafaa
2022,Johnny Russell,SCO,FWMF,32,a30e1562
2022,Jacen Russell-Rowe,CAN,FW,20,b33c6ed5
2022,Zach Ryan,USA,FW,23,74ba46bc
2022,Ryan Sailor,USA,DF,23,4924d9bb
2022,Carlos Salcedo,MEX,DF,29,64c07ae1
2022,Shea Salinas,USA,FWDF,36,4c10838d
2022,Dániel Sallói,HUN,FWMF,26,6fcddf5f
2022,Gaoussou Samaké,CIV,DF,24,ae760cf4
2022,Ilie Sánchez,ESP,MF,31,72979f65
2022,William Sands,USA,DF,22,960a4473
2022,Sergio Santos Gomes,BRA,FW,28,a930b263
2022,Koa Santos,USA,MF,23,c09ddc5e
2022,Nuno Santos,POR,MF,23,6fc57554
2022,Pedro Santos,POR,DF,34,789da0f2
2022,C.J. Sapong,USA,FW,33,ef4e4c5d
2022,Jefferson Savarino,VEN,FWMF,25,91721722
2022,Rodrigo Schlegel,ARG,DF,25,5bb02df4
2022,Tate Schmitt,USA,DF,25,fa21bbc8
2022,Alessandro Schöpf,AUT,MFFW,28,106bca06
2022,Eddie Segura,COL,DF,25,c70e3fe0
2022,Amar Sejdic,USA,MF,25,43ca2019
2022,Boris Sekuli?,SVK,DF,30,adf26bd4
2022,Brandon Servania,USA,MF,23,4d825a2d
2022,Jacob Shaffelburg,CAN,MF,22,339a2561
2022,Xherdan Shaqiri,SUI,MF,31,6421ec64
2022,Brek Shea,USA,DF,32,adb6ae24
2022,Khiry Shelton,USA,FW,29,f935709c
2022,Andre Shinyashiki,BRA,FWMF,27,8c395868
2022,Bobby Shuttleworth,USA,GK,35,4598ac94
2022,Marcelo Silva,URU,DF,33,b9596515
2019,Tesho Akindele,CAN,FW,26,897304e5
2022,Jack Skahan,USA,DFMF,24,9c07bdc7
2022,Drew Skundrich,USA,MFDF,27,51f50135
2022,Gaga Slonina,USA,GK,18,c55a846e
2022,Brad Smith,AUS,DF,28,c76c717c
2022,Kimarni Smith,ENG,DFFW,24,bbbb244b
2022,Kyle Smith,USA,DF,30,9e6b2ec3
2022,Jan Soboci?ski,POL,DF,23,5358009d
2022,Santiago Sosa,ARG,MF,23,f080dd22
2022,Ryan Spaulding,USA,DF,24,9fda5cd3
2022,Steven Sserwadda,UGA,MF,20,bddc8df4
2022,Dayne St. Clair,CAN,GK,25,3f41d25f
2022,Mason Stajduhar,USA,GK,24,f01df62c
2022,Daniel Steres,USA,DF,31,17c03c76
2022,Jared Stroud,USA,MFFW,26,5d018899
2022,Brad Stuver,USA,GK,31,6a1940d5
2022,Quinn Sullivan,USA,FWMF,18,92f62cfe
2022,Ben Sweat,USA,DF,31,6937b1ac
2022,Karol ?widerski,POL,FWMF,25,41723204
2022,Nkosi Tafari,USA,DF,25,4a07ae31
2022,Ismael Tajouri-Shradi,LBY,FWMF,28,ef4249ff
2022,Andrew Tarbell,USA,GK,29,c5487a34
2022,D.J. Taylor,USA,DF,25,ed4dc7f4
2022,Robert Taylor,FIN,FWMF,27,1fc0973f
2022,Russell Teibert,CAN,MF,29,674befe9
2022,Cristian Tello,ESP,FW,31,72a99e38
2021,Amadou Dia,USA,DF,27,1650e261
2022,Dylan Teves,USA,FWMF,22,f68ed3ba
2022,Thiago,BRA,FWDF,21,6adb0b79
2022,Erik Thommy,GER,MF,28,df8e7b62
2022,Kosi Thompson,CAN,DFMF,19,517bef8b
2022,Tommy Thompson,USA,DF,27,5f6c69d8
2022,Anton Tinnerholm,SWE,DF,31,0fe96099
2022,John Tolkin,USA,DF,20,5e88c524
2022,Nouhou Tolo,CMR,DF,25,0796512f
2022,Facundo Torres,URU,FWMF,22,4de3b2c0
2022,Jairo Torres,MEX,FWMF,22,7ed56490
2022,Joaquín Torres,ARG,MFFW,25,c82dcb70
2022,Dantouma Toure,GUI,FWMF,18,b5d2014f
2022,Mason Toye,USA,FW,24,0aa41f67
2022,Wil Trapp,USA,MF,29,9bf9391c
2022,Miguel Trauco,PER,DF,30,e4b72e34
2022,Danny Trejo,USA,FW,24,1312c534
2022,Auston Trusty,USA,DF,24,cddf767b
2022,Niko Tsakiris,USA,MF,17,cb501677
2022,Bill Tuiloma,NZL,DF,27,bf547c54
2022,Matt Turner,USA,GK,28,4a51ba65
2022,Ema Twumasi,GHA,DF,25,9ca4b140
2022,Marinos Tzionis,CYP,FWMF,21,b004076a
2022,Mikael Uhre,DEN,FW,28,be84c466
2022,Þorleifur Úlfarsson,ISL,FW,21,7e1046fa
2022,Victor Ulloa,USA,MFDF,30,e7056f05
2022,Maximiliano Urruti,ARG,FW,31,6c8fb474
2022,Júnior Urso,BRA,MFFW,33,b40424f1
2022,Jhojan Valencia,COL,MF,26,3fbe573e
2022,Zarek Valentin,PUR,DF,31,f0d23e7b
2022,Gustavo Vallecilla,ECU,DF,23,2ce88662
2022,José Van Rankin,MEX,DF,29,09ce2ebe
2022,Kerwin Vargas,COL,FWMF,20,758de7b4
2022,Obed Vargas,USA,MF,17,9cc1fde4
2022,Indiana Vassilev,USA,FWMF,21,04e195ee
2022,Brandon Vazquez,USA,FW,24,c570cf22
2022,Víctor Vázquez,ESP,MFFW,35,6c564d36
2022,Carlos Vela,MEX,FWMF,33,e0cd04e0
2022,Alan Velasco,ARG,FW,20,16349210
2022,Matías Vera,ARG,MF,26,fe529f25
2022,Ranko Veselinovi?,SRB,DF,23,366609b6
2022,Pedro Vite,ECU,FWMF,20,9c146b36
2022,Robert Voloder,BIH,DF,21,33d9d789
2022,Giacomo Vrioni,ALB,FW,24,bf4d31d3
2022,Nikola Vujnovi?,MNE,FW,25,128d62ba
2022,Kai Wagner,GER,DF,25,fdc715d9
2022,Anton Walkes,ENG,DF,25,8a062bba
2022,Rémi Walter,FRA,MF,27,0984c5d5
2022,Victor Wanyama,KEN,MF,31,e0900238
2022,Collen Warner,USA,MF,34,75babbce
2022,Taylor Washington,USA,DFMF,29,480d3bcc
2022,Joel Waterman,CAN,DF,26,47ddcc22
2022,Quentin Westberg,USA,GK,36,5480ae05
2022,Brian White,USA,FW,26,54c948de
2022,Caleb Wiley,USA,DFFW,17,64796fe0
2022,Derrick Williams,IRL,DF,29,c0a28fbd
2022,Josh Williams,USA,DF,34,06098bfc
2022,Thomas Williams,USA,DF,18,d46d1cdd
2022,Eryk Williamson,USA,MF,25,e0364352
2022,Joe Willis,USA,GK,34,467f09c8
2022,Danny Wilson,SCO,DF,30,9cfe9254
2022,Owen Wolff,USA,FWMF,17,9edc70d6
2022,Tyler Wolff,USA,FWMF,19,0985c282
2022,Bobby Wood,USA,FW,29,9853983f
2022,Darren Yapi,USA,FW,17,63abd734
2022,William Yarbrough,USA,GK,33,ec646e88
2022,Dru Yearwood,ENG,MF,22,2eb09121
2022,Steffen Yeattes,CAN,MF,22,bf89f7a7
2022,Yaw Yeboah,GHA,FWMF,25,36292031
2022,DeAndre Yedlin,USA,DF,29,ae0a7ddf
2022,Griffin Yow,USA,MFFW,20,ddd5cf39
2022,Jackson Yueill,USA,MFDF,25,7dce16bf
2022,Abdoul Zanne,CIV,MF,19,e5b49f0e
2022,Gyasi Zardes,USA,FW,31,09ae7f92
2022,Eriq Zavaleta,SLV,DF,30,edbfbb3f
2022,Sean Zawadzki,USA,MF,22,380ee265
2022,Zeca,BRA,DF,28,c816eea6
2022,Gedion Zelalem,USA,MF,25,b15ac68f
2022,Lucas Zelarayán,ARM,MFFW,30,3ce30893
2022,Walker Zimmerman,USA,DF,29,220fa883
2022,Rida Zouhir,CAN,MF,18,e1e65f24
2022,Ethan Zubak,USA,FW,24,9f39b6cf
2022,Dario Župari?,BIH,DF,30,c6f99e42
2022,Graham Zusi,USA,DF,36,9ba42447
2022,Róbert Þorkelsson,ISL,DFMF,20,0eb8ad80
2021,Paxten Aaronson,USA,MFFW,17,4cd41883
2021,Saad Abdul-Salaam,USA,DF,29,4705543b
2021,Luciano Abecasis,ARG,DF,30,6c510f2d
2021,Ramón Ábila,ARG,FW,31,db5ee72d
2021,Lalas Abubakar,GHA,DF,26,4a67f05b
2021,Nicolás Acevedo,URU,MF,21,6140be7b
2021,Ifunanyachi Achara,USA,FWMF,23,d31bf83e
2021,Bryan Acosta,HON,MF,27,c5f400f4
2021,Danilo Acosta,HON,DF,23,41f720a5
2021,Kellyn Acosta,USA,MFDF,25,ece10cfe
2021,Luciano Acosta,ARG,MF,26,363ba6d7
2021,Mo Adams,ENG,MF,24,00362ef7
2021,Samuel Adeniran,USA,FWMF,22,86429529
2021,Fanendo Adi,NGA,FW,30,ae2dd50a
2021,Harrison Afful,GHA,DF,34,7d8ede09
2021,Juan Agudelo,USA,FWMF,28,0cb2115f
2021,Raul Aguilera Jr.,USA,MF,21,7b6113d9
2021,Daniel Aguirre,USA,MFFW,21,ecc5063f
2021,Matheus Aiás,BRA,FWMF,24,3ac4ee49
2021,Arnaud Ake,CIV,FWMF,22,3402bb17
2021,Carlos Terán,COL,DF,20,324509e2
2021,Ayo Akinola,CAN,FW,21,214d2406
2021,Oswaldo Alanís,MEX,DF,31,e97787d9
2021,Caio Alexandre,BRA,MF,21,08ac23b7
2021,Tony Alfaro,USA,DF,27,4118b12a
2021,Ignacio Aliseda,ARG,FWMF,20,bb8099ee
2021,Osvaldo Alonso,CUB,MF,35,8449bfda
2021,Jozy Altidore,USA,FW,31,8db8ad1e
2021,Alexander Alvarado,ECU,FWMF,21,7302ba2b
2021,Ventura Alvarado,USA,DF,28,4c219392
2021,Efrain Alvarez,MEX,FWMF,18,3cd08ab7
2021,Frankie Amaya,USA,MF,20,2e8bd00c
2021,Mikey Ambrose,USA,DFMF,27,f649d6aa
2021,Malte Amundsen,DEN,DF,22,83b6e15d
2021,Sebastian Anderson,USA,DF,18,3a9911ce
2021,José Andrés Martínez,VEN,MF,26,c8364e8e
2021,Jalil Anibaba,USA,DF,32,e44593b0
2021,Brian Anunga,CMR,MF,24,17b28ec7
2021,Cristian Arango,COL,FW,25,fea9401e
2021,Julian Araujo,MEX,DF,19,8f4541c2
2021,Luiz Araújo,BRA,FWMF,24,fa18c72e
2021,Daniel Armando Ríos,MEX,FW,25,078b2c07
2021,Xavier Arreaga,ECU,DF,26,7f2b7640
2021,Paul Arriola,USA,FWMF,25,1bb2acce
2021,Artur,BRA,MF,24,ea6803c7
2021,Yamil Asad,ARG,MFFW,26,a444689a
2021,Dairon Asprilla,COL,FWMF,28,218d336c
2021,Isaac Atanga,GHA,FWMF,20,ff0f2a53
2021,Joshua Atencio,USA,MF,19,1f084637
2021,Jeff Attinella,USA,GK,32,4277b946
2021,Eduard Atuesta,COL,MF,23,60990b81
2021,Auro,BRA,DFMF,25,b234cb0e
2021,Brandon Austin,ENG,GK,22,5e253986
2021,Edison Azcona,DOM,FW,17,05f54837
2021,Dominique Badji,SEN,FW,28,758ac389
2021,Zico Bailey,USA,DF,20,aa9e1161
2021,Theo Bair,CAN,FW,21,c724745e
2021,Corey Baird,USA,FW,25,2d0d1442
2021,Mateo Bajamich,ARG,FWMF,21,d005b036
2021,Reed Baker-Whiting,USA,MFFW,15,816d7aec
2021,Michael Baldisimo,CAN,MF,20,894b41c5
2021,Grayson Barber,USA,FWMF,20,8504b10a
2021,Ezequiel Barco,ARG,FWMF,21,7fa737c4
2021,Tom Barlow,USA,FWMF,25,da4821de
2021,Luis Barraza,USA,GK,24,e6f22a6b
2021,Álvaro Barreal,ARG,FWMF,20,ffca53e1
2021,Michael Barrios,COL,FWMF,29,df782c79
2021,Cole Bassett,USA,MFFW,19,2c8da8a1
2021,Zorhan Bassong,CAN,DF,21,6297d826
2021,Clement Bayiha,CAN,DF,21,ca9f2034
2021,Tanner Beason,USA,DF,23,3f1b018e
2021,Alejandro Bedoya,USA,MF,33,9a6f8dfd
2021,Steven Beitashour,IRN,DF,33,64f1680a
2021,Jon Bell,USA,DF,23,658a3134
2021,George Bello,USA,DF,19,aca0a525
2021,Joe Bendik,USA,GK,31,c3e50b67
2021,Nicolas Benezet,FRA,FWMF,29,30395d3b
2021,Sebastian Berhalter,USA,MF,19,f33ee427
2021,Robert Beri?,SVN,FW,29,9001138b
2021,Miguel Berry,ESP,FW,23,a5532e80
2021,Matt Besler,USA,DF,33,8393a973
2021,Nick Besler,USA,MF,27,cc9fa1a8
2021,Janio Bikel,GNB,MF,25,7d944245
2021,Steve Birnbaum,USA,DF,30,26637ac8
2021,José Bizama,CHI,DF,26,fbcb25ab
2021,Tyler Blackett,ENG,DF,26,a68a5466
2021,Jamal Blackman,ENG,GK,27,dd26b605
2021,Tristan Blackmon,USA,DF,24,7f35d14e
2021,Andre Blake,JAM,GK,30,b3b21a11
2021,Sebastián Blanco,ARG,MFFW,32,4ddd0834
2021,Latif Blessing,GHA,MFDF,24,5153d32e
2021,Emmanuel Boateng,GHA,MFFW,27,25f77a5f
2021,Blake Bodily,USA,FWDF,23,612a0951
2021,Jonathan Bond,ENG,GK,27,c3a86eea
2021,Pablo Bonilla,VEN,DF,21,da23cdc3
2021,Alex Bono,USA,GK,26,aa28a396
2021,Jonathan Bornstein,USA,DF,36,79a6c95f
2021,Gustavo Bou,ARG,FW,30,3dfcc735
2021,Michael Boxall,NZL,DF,32,6bfa0d3a
2021,Michael Bradley,USA,MFDF,33,fd5e3a73
2021,Zachary Brault-Guillard,CAN,DF,22,948a58c2
2021,Claudio Bravo,ARG,DF,23,5619c5e8
2021,Brenner,BRA,FW,21,279508bf
2021,Bressan,BRA,DF,28,3db1684c
2021,Sebastian Breza,CAN,GK,22,52e7f812
2021,Frédéric Brillant,FRA,DF,35,5b14180f
2021,Andrew Brody,USA,DF,25,33e46323
2021,Javain Brown,JAM,DF,21,3d14c62e
2021,Will Bruin,USA,FW,31,87a6ac29
2021,Tajon Buchanan,CAN,MFFW,21,3aca6420
2021,Adam Buksa,POL,FW,24,3b676989
2021,Teal Bunbury,USA,FWMF,30,3077fce8
2021,Cory Burke,JAM,FWMF,29,39fde61c
2021,Evan Bush,USA,GK,34,69a57596
2021,Gianluca Busio,USA,MFFW,18,4a0b7f07
2021,Handwalla Bwana,SOM,FW,23,b56080ee
2021,Brandon Bye,USA,DF,25,9fcd12af
2021,Kevin Cabral,FRA,FWMF,21,42af215b
2021,Jhonder Cádiz,VEN,FW,25,e8edfdc9
2021,Deiber Caicedo,COL,FWMF,20,9bfa2f52
2021,Luís Caicedo,COL,MF,24,008ddeb9
2021,Scott Caldwell,USA,MF,29,4a54592d
2021,Alexander Callens,PER,DF,28,af34f10d
2021,Francisco Calvo,CRC,DF,28,706bd23f
2021,Rudy Camacho,FRA,DF,29,6ad16d47
2021,Geoff Cameron,USA,DF,35,1a160ea3
2021,George Campbell,USA,DF,19,45e1a597
2021,Russell Canouse,USA,MF,25,ec730d9a
2021,Nathan Cardoso,BRA,DF,25,d4438745
2021,Antonio Carlos,BRA,DF,27,949fe1e8
2021,Wikelman Carmona,VEN,MFFW,17,cab97dd2
2021,Julián Carranza,ARG,FWMF,20,3e9ae1db
2021,Adalberto Carrasquilla,PAN,MF,22,f087912d
2021,Javier Casas,USA,MF,17,2ed8d81b
2021,Julio Cascante,CRC,DF,27,cc120b4f
2021,Cristian Cásseres Jr.,VEN,MFFW,21,f86fe8c1
2021,Robert Castellanos,USA,DF,22,e620dcbb
2021,Valentín Castellanos,ARG,FW,22,da76bab4
2021,Edgar Castillo,USA,DF,34,3cdde01b
2021,Juan Castillo,USA,MF,16,bd538c54
2021,Lucas Cavallini,CAN,FW,28,dd8de641
2021,Darwin Cerén,SLV,MF,31,a58de3f0
2021,Edwin Cerrillo,USA,MF,20,bd060315
2021,Maikel Chang,CUB,DFMF,29,04cc9edd
2021,Maxime Chanot,LUX,DF,31,ca366055
2021,Jay Chapman,CAN,MFFW,27,3bb4d381
2021,Diego Chará,COL,MF,34,6260cc9d
2021,Yimmi Chará,COL,FWMF,29,9df9baab
2021,Justin Che,USA,DF,17,3c569f37
2021,Mathieu Choiniere,CAN,DF,21,017459bb
2021,Léo Chú,BRA,FWMF,20,d88ebbe9
2021,José Cifuentes,ECU,MF,21,8c8c07a7
2021,Abdoulaye Cissoko,FRA,DF,21,52a6ef30
2021,Caden Clark,USA,MFFW,17,6e327d0d
2021,Steve Clark,USA,GK,34,ed6320b7
2021,Stefan Cleveland,USA,GK,26,873fdbdf
2021,Elliot Collier,NZL,FWMF,25,5804f03b
2021,Jackson Conway,USA,FWMF,19,1cfa6e1a
2021,Derek Cornelius,CAN,DFFW,23,577744b8
2021,Joe Corona,USA,MF,30,470cd24b
2021,Carlos Coronel,BRA,GK,24,5c07e176
2021,Séga Coulibaly,FRA,DF,24,dab9537e
2021,Cade Cowell,USA,FWMF,17,f8e95f87
2021,Maxime Crépeau,CAN,GK,26,ea42e480
2021,Daniel Crisostomo,USA,MF,24,33fdd2aa
2021,Cody Cropper,USA,GK,27,aa133046
2021,Allan Cruz,CRC,MF,24,030105a5
2021,Cristián Dajome,COL,FWDF,27,a065e877
2021,Jürgen Damm,MEX,FWDF,28,bbf8bf7a
2021,Jesús Daniel Bueno,VEN,MF,21,b5687b08
2021,Mario Daniel Vega,ARG,GK,36,6904a59a
2021,Abu Danladi,GHA,FWMF,25,507383d1
2021,Toni Datkovi?,CRO,DF,27,0893e14b
2021,Jake Davis,USA,MF,19,79d3a503
2021,Sean Davis,USA,MF,27,cb75cac9
2021,Matheus Davó,BRA,FWMF,21,e48e1310
2021,Alex DeJohn,USA,DF,29,2a6c024c
2021,A.J. DeLaGarza,GUM,DF,33,171b3c37
2021,Jordy Delem,MTQ,MFDF,27,12e3a5f4
2021,Nick DeLeon,USA,MFFW,30,21490b0d
2021,Marky Delgado,USA,MFFW,25,7f6a25b7
2021,Nick DePuy,USA,DF,26,ba7b4e67
2021,Silvester van der Water,NED,FWMF,24,5d83500d
2021,Joey DeZart,USA,MF,22,9d7142a6
2021,Everton Luiz,BRA,MF,32,3799e138
2021,Youba Diarra,MLI,MF,22,d61759ec
2021,Luis Díaz,CRC,FW,22,1c9838aa
2021,Bakaye Dibassy,MLI,DF,31,247accfd
2021,Daryl Dike,USA,FW,20,d4cfc93c
2021,Clément Diop,SEN,GK,27,0d5c0218
2021,Moussa Djitte,SEN,FW,21,627b570a
2021,Ethan Dobbelaere,USA,DFMF,18,1e772b7c
2021,Cecilio Domínguez,PAR,FW,26,3162d667
2021,Irakoze Donasiyano,USA,MF,22,6195efdb
2021,Griffin Dorsey,USA,FWDF,21,c182ca04
2021,Jonathan dos Santos,MEX,MF,30,91872dec
2021,Hassani Dotson,USA,MFFW,23,8f2af1ed
2021,Josh Drack,USA,MF,21,98a70879
2021,Sebastián Driussi,ARG,MFFW,24,60e86875
2021,Bryce Duke,USA,MFFW,19,59557625
2021,Cameron Duke,USA,MFDF,19,c679d9fd
2021,Cameron Dunbar,USA,FWMF,18,a8734f4a
2021,Kyle Duncan,USA,DF,23,575e6cb1
2021,Julian Dunn-Johnson,CAN,DF,20,220b5800
2021,Chris Duvall,USA,DF,29,39fae08b
2021,Dom Dwyer,USA,FW,30,bdfc15f8
2021,Jeremy Ebobisse,USA,FW,23,5fa7b2ec
2021,Javier Eduardo López,MEX,MFFW,26,f851b52f
2021,Raheem Edwards,CAN,DFMF,25,b828d56a
2021,Tom Edwards,ENG,DF,22,1b780599
2021,Mandela Egbo,ENG,DF,23,5603d397
2021,Jack Elliott,ENG,DF,25,041deebd
2021,Kalil ElMedkhar,USA,FWMF,21,272c1aaf
2021,Tsubasa Endoh,JPN,FWMF,27,46dca6e8
2021,Adam Esparza,USA,MF,18,ca135560
2021,Cristian Espinoza,ARG,FWMF,25,9c794a80
2021,Jhon Espinoza,ECU,DF,21,79666d5a
2021,Roger Espinoza,HON,MF,34,60b7c195
2021,Lucas Esteves,BRA,DF,20,c6ec0258
2021,Derrick Etienne,HAI,FWMF,24,59059f1e
2021,Fábio,BRA,FWMF,23,30f90535
2021,Diego Fagúndez,URU,MFFW,25,fe81682e
2021,Mamadou Fall,SEN,DF,18,805a2a11
2021,Marco Farfan,USA,DF,22,cfc68595
2021,Andrew Farrell,USA,DF,28,71eda165
2021,Felipe,BRA,MF,30,2415bd0a
2021,Omir Fernandez,USA,FWMF,21,622986f0
2021,Jesus Ferreira,USA,MF,20,f61246d8
2021,Carlos Fierro,MEX,FWMF,26,bbd2b6b7
2021,Jorge Figal,ARG,DF,26,91e44066
2021,Maynor Figueroa,HON,DF,37,d8524b21
2021,Stuart Findlay,SCO,DF,25,edffe99a
2021,Ethan Finlay,USA,FW,30,c16a59af
2021,Oniel Fisher,JAM,DF,29,ed5fdca6
2021,Leon Flach,USA,MF,19,39859fa1
2021,Edison Flores,PER,FWMF,26,ef2c82f8
2021,George Fochive,USA,MF,28,f99000bb
2021,Anthony Fontana,USA,MFFW,21,1f34358e
2021,Andreu Fontàs,ESP,DF,31,0f138d5a
2021,Franco Fragapane,ARG,FWMF,27,09538c47
