,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
320,Kemar Lawrence,jm JAM,DFMF,NY Red Bulls,24,1992,24,23,2074,23,1,5,1,0,0,7,0,0.04,0.22,0.26,0.04,0.26,Matches,80be3efe
321,Sébastien Le Toux,fr FRA,MFFW,D.C. United,33,1984,16,8,736,8.2,2,0,2,0,0,1,0,0.24,0,0.24,0.24,0.24,Matches,f0fff190
322,Kelvin Leerdam,sr SUR,DF,Seattle,26,1990,15,14,1290,14.3,1,1,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,Matches,d8b47705
323,Michael de Leeuw,nl NED,MFFW,Chicago Fire,30,1986,30,26,2245,24.9,3,7,3,0,0,5,0,0.12,0.28,0.4,0.12,0.4,Matches,4ff1c40c
324,Wandrille Lefèvre,ca CAN,DF,Montreal Impact,27,1989,3,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d0fa8a94
325,José Leitón,cr CRC,DF,Minnesota Utd,23,1993,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,55683c6e
326,Brooks Lennon,us USA,FWMF,Real Salt Lake,19,1997,25,15,1533,17,3,2,3,0,0,2,0,0.18,0.12,0.29,0.18,0.29,Matches,ec80ba72
327,Leonardo,br BRA,DF,Houston Dynamo,28,1988,30,29,2616,29.1,2,1,2,0,0,3,0,0.07,0.03,0.1,0.07,0.1,Matches,5cd8318a
328,Jonathan Lewis,us USA,FWMF,NYCFC,19,1997,11,4,345,3.8,2,1,2,0,0,0,0,0.52,0.26,0.78,0.52,0.78,Matches,2501eb59
329,Nick Lima,us USA,DFMF,San Jose,22,1994,22,20,1809,20.1,2,1,2,0,0,2,2,0.1,0.05,0.15,0.1,0.15,Matches,959686eb
330,Sebastian Lletget,us USA,MF,LA Galaxy,24,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,73019c31
331,Cristian Lobato,es ESP,FWMF,Sporting KC,27,1989,10,6,547,6.1,1,0,1,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches,a7ac9c6d
332,Nicolás Lodeiro,uy URU,MFFW,Seattle,27,1989,33,33,2964,32.9,7,9,4,3,3,5,1,0.21,0.27,0.49,0.12,0.39,Matches,fe81d0d1
333,Aaron Long,us USA,DF,NY Red Bulls,24,1992,31,30,2658,29.5,1,0,1,0,0,3,0,0.03,0,0.03,0.03,0.03,Matches,46b89640
334,Mikey Lopez,us USA,MF,NYCFC,23,1993,12,5,612,6.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches,fa452499
335,Daniel Lovitz,us USA,DFMF,Montreal Impact,25,1991,25,19,1756,19.5,0,0,0,0,0,4,1,0,0,0,0,0,Matches,db97d838
336,Luis Silva,mx MEX,FWMF,Real Salt Lake,28,1988,30,20,1770,19.7,7,3,6,1,1,5,0,0.36,0.15,0.51,0.31,0.46,Matches,0a8be4f8
337,Larrys Mabiala,cd COD,DF,Portland Timbers,29,1987,13,13,1160,12.9,0,0,0,0,0,0,1,0,0,0,0,0,Matches,5bdec47f
338,Adolfo Machado,pa PAN,DF,Houston Dynamo,31,1985,33,33,2970,33,0,2,0,0,0,5,0,0,0.06,0.06,0,0.06,Matches,fc29a3a8
339,Zac MacMath,us USA,GK,Colorado Rapids,25,1991,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,06caac45
340,Calum Mallace,sct SCO,MF,Montreal Impact,27,1990,7,4,298,3.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5767fe13
341,Connor Maloney,us USA,MF,Columbus Crew,21,1995,2,1,126,1.4,0,1,0,0,0,0,0,0,0.71,0.71,0,0.71,Matches,05ad7458
342,Matteo Mancosu,it ITA,FW,Montreal Impact,32,1984,26,20,1743,19.4,6,1,5,1,1,5,0,0.31,0.05,0.36,0.26,0.31,Matches,235fab68
343,Kekuta Manneh,us USA,FW,Vancouver,22,1994,3,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4d735ad6
344,Kekuta Manneh,us USA,MFFW,Columbus Crew,22,1994,19,9,841,9.3,4,3,4,0,0,0,0,0.43,0.32,0.75,0.43,0.75,Matches,4d735ad6
345,Mauro Manotas,co COL,FW,Houston Dynamo,21,1995,33,24,2062,22.9,10,5,10,0,1,3,0,0.44,0.22,0.65,0.44,0.65,Matches,89a5efd3
346,Stefan Marinovic,nz NZL,GK,Vancouver,25,1991,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,581cfcab
347,Richie Marquez,us USA,DF,Philadelphia,24,1992,15,13,1214,13.5,1,0,1,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches,43b21901
348,Chad Marshall,us USA,DF,Seattle,32,1984,28,27,2366,26.3,1,2,1,0,0,2,0,0.04,0.08,0.11,0.04,0.11,Matches,ba82008e
349,Collin Martin,us USA,MF,Minnesota Utd,22,1994,11,7,634,7,0,0,0,0,0,4,0,0,0,0,0,0,Matches,027c0f1a
350,Cristian Martínez,pa PAN,MF,Columbus Crew,19,1997,8,1,243,2.7,0,0,0,0,0,2,0,0,0,0,0,0,Matches,fdb15495
351,Josef Martínez,ve VEN,FW,Atlanta Utd,23,1993,20,17,1522,16.9,19,1,17,2,2,4,0,1.12,0.06,1.18,1.01,1.06,Matches,e73f0aa1
352,Tomás Martínez,ar ARG,MF,Houston Dynamo,21,1995,9,5,503,5.6,2,0,2,0,0,2,0,0.36,0,0.36,0.36,0.36,Matches,cc6cf17f
353,Rónald Matarrita,cr CRC,DF,NYCFC,22,1994,12,8,697,7.7,0,2,0,0,0,3,0,0,0.26,0.26,0,0.26,Matches,491862dd
354,Darren Mattocks,jm JAM,FW,Portland Timbers,26,1990,24,11,1079,12,4,1,4,0,0,1,0,0.33,0.08,0.42,0.33,0.42,Matches,b9b461b9
355,Aaron Maund,tt TRI,DF,Real Salt Lake,26,1990,13,12,998,11.1,1,0,1,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches,c1ea57e4
356,Aaron Maund,tt TRI,DF,Vancouver,26,1990,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches,c1ea57e4
357,Chris Mavinga,cd COD,DF,Toronto FC,25,1991,26,24,2012,22.4,0,2,0,0,0,3,0,0,0.09,0.09,0,0.09,Matches,fda36cfb
358,Jack McBean,us USA,FW,LA Galaxy,22,1994,18,8,717,8,2,0,2,0,0,4,0,0.25,0,0.25,0.25,0.25,Matches,4ab546dd
359,Chris McCann,ie IRL,DFMF,Atlanta Utd,29,1987,23,9,968,10.8,0,2,0,0,0,0,0,0,0.19,0.19,0,0.19,Matches,a6fdaa90
360,John McCarthy,us USA,GK,Philadelphia,24,1992,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,Matches,249362e9
361,Dax McCarty,us USA,MF,Chicago Fire,29,1987,28,28,2461,27.3,0,4,0,0,0,4,0,0,0.15,0.15,0,0.15,Matches,b74e58c0
362,Jack McInerney,us USA,FW,LA Galaxy,24,1992,8,3,263,2.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches,9c4860f5
363,Ben McKendry,ca CAN,MF,Vancouver,23,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b93cd33f
364,Thomas McNamara,us USA,MFFW,NYCFC,25,1991,27,19,1569,17.4,3,1,3,0,0,5,0,0.17,0.06,0.23,0.17,0.23,Matches,ab36595d
365,Tyrone Mears,jm JAM,DF,Atlanta Utd,33,1983,20,16,1502,16.7,1,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matches,6f34d0b5
366,Jimmy Medranda,co COL,FWMF,Sporting KC,22,1994,33,24,2078,23.1,2,1,2,0,0,2,0,0.09,0.04,0.13,0.09,0.13,Matches,6f7ac622
367,Haris Medunjanin,ba BIH,MF,Philadelphia,31,1985,34,34,3056,34,2,8,2,0,0,4,0,0.06,0.24,0.29,0.06,0.29,Matches,de5d5d41
368,João Meira,pt POR,DF,Chicago Fire,29,1987,30,27,2414,26.8,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches,6d1aa3c2
369,Tim Melia,us USA,GK,Sporting KC,30,1986,31,31,2758,30.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches,cc741f50
370,Raúl Mendiola,us USA,FWMF,LA Galaxy,22,1994,4,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,14e299d6
371,Jonathan Mensah,gh GHA,DF,Columbus Crew,26,1990,26,25,2168,24.1,2,1,2,0,0,7,2,0.08,0.04,0.12,0.08,0.12,Matches,8087e6cb
372,Justin Meram,iq IRQ,MF,Columbus Crew,28,1988,34,32,2575,28.6,13,5,13,0,0,6,0,0.45,0.17,0.63,0.45,0.63,Matches,ae34c71d
373,Dan Metzger,us USA,MF,NY Red Bulls,23,1993,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cd99f700
374,Nicolás Mezquida,uy URU,MFFW,Vancouver,25,1992,20,8,691,7.7,2,1,2,0,0,1,0,0.26,0.13,0.39,0.26,0.39,Matches,00b629e1
375,Djordje Mihailovic,us USA,MF,Chicago Fire,18,1998,17,7,739,8.2,1,0,1,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches,83cf9719
376,Eric Miller,us USA,DF,Colorado Rapids,24,1993,30,30,2614,29,0,0,0,0,0,4,0,0,0,0,0,0,Matches,c0593f5d
377,Roy Miller,cr CRC,DF,Portland Timbers,32,1984,26,26,2265,25.2,1,1,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,Matches,5fa7d43f
378,Tyler Miller,us USA,GK,Seattle,23,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7827a6b3
379,Bruno Miranda,bo BOL,FW,D.C. United,18,1998,5,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4133bfbf
380,Kevin Molino,tt TRI,MFFW,Minnesota Utd,26,1990,30,30,2503,27.8,7,9,4,3,4,5,0,0.25,0.32,0.58,0.14,0.47,Matches,371645ca
381,Fredy Montero,co COL,FW,Vancouver,29,1987,33,26,2466,27.4,13,6,11,2,4,6,0,0.47,0.22,0.69,0.4,0.62,Matches,bc5b5be5
382,Drew Moor,us USA,DF,Toronto FC,33,1984,25,24,2175,24.2,2,1,2,0,0,1,0,0.08,0.04,0.12,0.08,0.12,Matches,220cf869
383,Javier Morales,ar ARG,MF,FC Dallas,37,1980,15,8,757,8.4,1,2,1,0,0,1,0,0.12,0.24,0.36,0.12,0.36,Matches,56da8d99
384,Maximiliano Moralez,ar ARG,MFFW,NYCFC,29,1987,29,28,2521,28,5,8,5,0,1,8,0,0.18,0.29,0.46,0.18,0.46,Matches,f99f37fc
385,Ashtone Morgan,ca CAN,MFDF,Toronto FC,25,1991,5,3,283,3.1,1,0,1,0,0,1,0,0.32,0,0.32,0.32,0.32,Matches,caece619
386,Jordan Morris,us USA,FWMF,Seattle,22,1994,23,22,1790,19.9,3,2,3,0,0,0,0,0.15,0.1,0.25,0.15,0.25,Matches,bd298d0d
387,Justin Morrow,us USA,DFMF,Toronto FC,29,1987,28,28,2477,27.5,8,1,8,0,0,0,0,0.29,0.04,0.33,0.29,0.33,Matches,0bee5512
388,Yura Movsisyan,am ARM,FW,Real Salt Lake,29,1987,28,16,1422,15.8,7,0,6,1,1,4,0,0.44,0,0.44,0.38,0.38,Matches,a533bf02
389,Luke Mulholland,eng ENG,MF,Real Salt Lake,28,1988,27,22,1947,21.6,3,2,3,0,0,4,0,0.14,0.09,0.23,0.14,0.23,Matches,c1a723ec
390,Patrick Mullins,us USA,FW,D.C. United,24,1992,20,12,1072,11.9,5,0,5,0,0,1,0,0.42,0,0.42,0.42,0.42,Matches,a03a84d3
391,James Musa,nz NZL,MF,Sporting KC,24,1992,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches,e176052e
392,Soni Mustivar,ht HAI,MF,Sporting KC,26,1990,14,2,268,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,91daddf2
393,Alex Muyl,us USA,MFFW,NY Red Bulls,21,1995,30,21,1937,21.5,3,3,3,0,0,4,0,0.14,0.14,0.28,0.14,0.28,Matches,2c1025bf
394,Chance Myers,us USA,DF,Portland Timbers,29,1987,1,1,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3476024f
395,Nicolai Næss,no NOR,DF,Columbus Crew,24,1993,18,17,1474,16.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches,54d629b3
396,Darlington Nagbe,us USA,MF,Portland Timbers,26,1990,27,27,2324,25.8,3,2,3,0,0,3,0,0.12,0.08,0.19,0.12,0.19,Matches,6219c704
397,Adam Najem,af AFG,MF,Philadelphia,22,1995,5,1,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0aeffaf7
398,Hassan Ndam,cm CMR,DF,NY Red Bulls,18,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,148f3d0f
399,Lamar Neagle,us USA,MFFW,D.C. United,29,1987,22,9,1127,12.5,1,0,0,1,2,4,0,0.08,0,0.08,0,0,Matches,36e2518d
400,Lamar Neagle,us USA,FWMF,Seattle,29,1987,8,0,95,1.1,2,0,2,0,0,2,0,1.89,0,1.89,1.89,1.89,Matches,36e2518d
401,Krisztián Németh,hu HUN,FWMF,New England,28,1989,6,3,177,2,1,1,1,0,0,0,1,0.51,0.51,1.02,0.51,1.02,Matches,e1f5275f
402,Jake Nerwinski,us USA,DF,Vancouver,22,1994,19,19,1706,19,0,3,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches,2b5801d0
403,Lee Nguyen,us USA,FWMF,New England,30,1986,31,30,2535,28.2,11,9,8,3,3,3,0,0.39,0.32,0.71,0.28,0.6,Matches,35feb4cd
404,Sam Nicholson,sct SCO,MF,Minnesota Utd,22,1995,12,8,636,7.1,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches,8c8ac996
405,Nemanja Nikoli?,hu HUN,FW,Chicago Fire,29,1987,34,34,2938,32.6,24,3,20,4,5,1,0,0.74,0.09,0.83,0.61,0.7,Matches,e24a8b47
406,Antonio Nocerino,it ITA,MF,Orlando City,31,1985,31,28,2226,24.7,1,0,1,0,0,2,1,0.04,0,0.04,0.04,0.04,Matches,07cf67f3
407,Patrick Nyarko,gh GHA,MFFW,D.C. United,31,1986,14,12,1025,11.4,1,2,1,0,0,0,0,0.09,0.18,0.26,0.09,0.26,Matches,d7742acd
408,Chris Odoi-Atsem,us USA,DF,D.C. United,21,1995,9,5,484,5.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,375ec69e
409,Dominic Oduro,gh GHA,MFFW,Montreal Impact,31,1985,25,17,1435,15.9,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,Matches,73f325d9
410,Sean Okoli,us USA,FW,NYCFC,23,1993,16,3,430,4.8,1,0,1,0,0,1,0,0.21,0,0.21,0.21,0.21,Matches,fa236b87
411,Amobi Okugo,us USA,MFDF,Portland Timbers,25,1991,8,3,399,4.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches,eee59c91
412,Kévin Oliveira,cv CPV,FWMF,Sporting KC,20,1996,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,30a50e79
413,Lawrence Olum,ke KEN,DFMF,Portland Timbers,32,1984,30,22,2109,23.4,1,0,1,0,0,3,0,0.04,0,0.04,0.04,0.04,Matches,3f2116ff
414,Oguchi Onyewu,us USA,DF,Philadelphia,34,1982,22,22,1928,21.4,1,0,1,0,0,6,0,0.05,0,0.05,0.05,0.05,Matches,79283d79
415,Ike Opara,us USA,DF,Sporting KC,27,1989,30,30,2700,30,3,0,3,0,0,3,0,0.1,0,0.1,0.1,0.1,Matches,6f1d6006
416,Kofi Opare,ca CAN,DF,D.C. United,26,1990,26,25,2213,24.6,2,1,2,0,0,2,0,0.08,0.04,0.12,0.08,0.12,Matches,877286b4
417,Jonathan Osorio,ca CAN,MFFW,Toronto FC,24,1992,27,9,1072,11.9,2,1,2,0,0,1,0,0.17,0.08,0.25,0.17,0.25,Matches,70106ff6
418,David Ousted,dk DEN,GK,Vancouver,31,1985,28,28,2453,27.3,0,0,0,0,0,2,1,0,0,0,0,0,Matches,28269907
419,Ambroise Oyongo,cm CMR,DF,Montreal Impact,25,1991,11,11,990,11,1,1,1,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches,e3e05edf
420,Erik Palmer-Brown,us USA,DF,Sporting KC,19,1997,10,7,643,7.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e5c1e0ca
421,Tim Parker,us USA,DF,Vancouver,23,1993,32,32,2880,32,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,Matches,4988a44d
422,Michael Parkhurst,us USA,DF,Atlanta Utd,33,1984,33,33,2902,32.2,0,0,0,0,0,4,0,0,0,0,0,0,Matches,602e2c34
423,Tyler Pasher,ca CAN,FW,Sporting KC,22,1994,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3a7bec1b
424,PC,br BRA,DF,Orlando City,22,1994,8,5,438,4.9,0,1,0,0,0,1,1,0,0.21,0.21,0,0.21,Matches,18d94cb0
425,João Pedro,pt POR,MF,LA Galaxy,23,1993,28,26,2302,25.6,1,2,1,0,0,7,0,0.04,0.08,0.12,0.04,0.12,Matches,c51a704e
426,Léo Pereira,br BRA,DF,Orlando City,21,1996,10,9,805,8.9,0,0,0,0,0,4,0,0,0,0,0,0,Matches,bd247251
427,Matías Pérez García,ar ARG,MFFW,Orlando City,32,1984,15,11,967,10.7,1,2,1,0,0,3,0,0.09,0.19,0.28,0.09,0.28,Matches,12fe55da
428,Damien Perrinelle,fr FRA,DF,NY Red Bulls,33,1983,25,22,1971,21.9,0,1,0,0,0,5,0,0,0.05,0.05,0,0.05,Matches,7a4098dd
429,Jacob Peterson,us USA,FW,Atlanta Utd,31,1986,10,1,173,1.9,3,0,3,0,0,0,0,1.56,0,1.56,1.56,1.56,Matches,ac156e79
430,Demar Phillips,jm JAM,DF,Real Salt Lake,33,1983,13,11,962,10.7,0,2,0,0,0,2,0,0,0.19,0.19,0,0.19,Matches,f9abd777
431,Ignacio Piatti,ar ARG,FWMF,Montreal Impact,31,1985,28,26,2367,26.3,17,5,13,4,5,3,0,0.65,0.19,0.84,0.49,0.68,Matches,ece7bafd
432,Fafà Picault,us USA,MF,Philadelphia,25,1991,28,23,1885,20.9,7,3,7,0,0,1,0,0.33,0.14,0.48,0.33,0.48,Matches,dbaa10c0
433,Samuel Piette,ca CAN,MF,Montreal Impact,22,1994,11,11,957,10.6,0,1,0,0,0,3,0,0,0.09,0.09,0,0.09,Matches,bc33c73b
434,Andrea Pirlo,it ITA,MF,NYCFC,37,1979,15,14,1078,12,0,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches,71c5f16f
435,Joao Plata,ec ECU,MFFW,Real Salt Lake,24,1992,29,27,2309,25.7,7,4,5,2,2,1,0,0.27,0.16,0.43,0.19,0.35,Matches,a037286c
436,Matt Polster,us USA,DF,Chicago Fire,23,1993,22,21,1766,19.6,1,5,1,0,0,3,0,0.05,0.25,0.31,0.05,0.31,Matches,d1d418f8
437,Paxton Pomykal,us USA,MF,FC Dallas,17,1999,2,2,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c1f0fb45
438,Chris Pontius,us USA,MF,Philadelphia,29,1987,30,27,2237,24.9,2,6,2,0,0,0,0,0.08,0.24,0.32,0.08,0.32,Matches,be30178e
439,Cameron Porter,us USA,FW,Sporting KC,23,1993,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7e129feb
440,Alvas Powell,jm JAM,DF,Portland Timbers,22,1994,23,19,1691,18.8,2,2,2,0,0,3,0,0.11,0.11,0.21,0.11,0.21,Matches,2f91124d
441,Dillon Powers,us USA,MF,Colorado Rapids,25,1991,15,11,963,10.7,0,0,0,0,0,3,0,0,0,0,0,0,Matches,35f79831
442,Dillon Powers,us USA,MF,Orlando City,25,1991,6,4,345,3.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches,35f79831
443,Valeri Qazaishvili,ge GEO,MFFW,San Jose,24,1993,13,8,783,8.7,5,0,5,0,0,0,0,0.57,0,0.57,0.57,0.57,Matches,c8c03e98
444,Romell Quioto,hn HON,FWMF,Houston Dynamo,25,1991,22,14,1279,14.2,7,3,7,0,0,4,0,0.49,0.21,0.7,0.49,0.7,Matches,122e850d
445,Jukka Raitala,fi FIN,DFMF,Columbus Crew,28,1988,28,20,1926,21.4,0,1,0,0,0,4,0,0,0.05,0.05,0,0.05,Matches,67b054d1
446,Christian Ramirez,us USA,FW,Minnesota Utd,25,1991,30,27,2389,26.5,14,3,14,0,0,1,0,0.53,0.11,0.64,0.53,0.64,Matches,316d5521
447,Rafael Ramos,pt POR,DF,Orlando City,22,1995,2,1,56,0.6,0,0,0,0,0,0,1,0,0,0,0,0,Matches,f8ddf51c
448,Tommy Redding,us USA,DF,Orlando City,20,1997,18,14,1409,15.7,0,0,0,0,0,3,0,0,0,0,0,0,Matches,47a3a74f
449,Dylan Remick,us USA,DF,Houston Dynamo,25,1991,14,13,1167,13,1,0,1,0,0,1,0,0.08,0,0.08,0.08,0.08,Matches,b818cfb2
450,Yordy Reyna,pe PER,MF,Vancouver,23,1993,18,11,1074,11.9,6,3,6,0,0,3,0,0.5,0.25,0.75,0.5,0.75,Matches,eec316d9
451,Kyle Reynish,us USA,GK,Atlanta Utd,33,1983,2,2,150,1.7,0,0,0,0,0,0,1,0,0,0,0,0,Matches,ce84320f
452,Spencer Richey,us USA,GK,Vancouver,24,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d9178ea2
453,Tosaint Ricketts,ca CAN,FWMF,Toronto FC,29,1987,22,9,1010,11.2,7,1,7,0,0,0,0,0.62,0.09,0.71,0.62,0.71,Matches,54769358
454,Liam Ridgewell,eng ENG,DF,Portland Timbers,32,1984,15,15,1269,14.1,3,0,3,0,0,4,0,0.21,0,0.21,0.21,0.21,Matches,7c9e057e
455,Nick Rimando,us USA,GK,Real Salt Lake,37,1979,28,28,2487,27.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches,cf975d73
456,Alexander Ring,fi FIN,MF,NYCFC,25,1991,29,29,2603,28.9,0,3,0,0,0,10,0,0,0.1,0.1,0,0.1,Matches,6c1221d6
457,Carlos Rivas,co COL,FW,Orlando City,22,1994,30,21,1961,21.8,5,2,5,0,0,3,0,0.23,0.09,0.32,0.23,0.32,Matches,02832bd0
458,Jalen Robinson,us USA,DF,D.C. United,22,1994,7,6,544,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,900bc4f7
459,Luis Robles,us USA,GK,NY Red Bulls,32,1984,34,34,3060,34,0,0,0,0,0,4,0,0,0,0,0,0,Matches,15e6b513
460,Tony Rocha,bz BLZ,MF,Orlando City,23,1993,3,0,28,0.3,0,1,0,0,0,1,0,0,3.21,3.21,0,3.21,Matches,85538cdd
461,Memo Rodriguez,us USA,FWMF,Houston Dynamo,21,1995,9,3,330,3.7,2,1,2,0,0,0,0,0.55,0.27,0.82,0.55,0.82,Matches,fc6c6b2b
462,Víctor Rodríguez,es ESP,MF,Seattle,27,1989,7,5,484,5.4,2,0,2,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches,15781606
463,Cristian Roldan,us USA,MF,Seattle,21,1995,33,33,2959,32.9,6,2,6,0,0,3,0,0.18,0.06,0.24,0.18,0.24,Matches,48875649
464,Andrés Romero,ar ARG,MFFW,Montreal Impact,27,1989,9,4,434,4.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches,5abc0534
465,David Romney,us USA,DF,LA Galaxy,23,1993,29,23,2253,25,2,1,2,0,0,0,0,0.08,0.04,0.12,0.08,0.12,Matches,b7b6e781
466,Mauro Rosales,ar ARG,FWMF,Vancouver,35,1981,5,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ebf68c7f
467,Keegan Rosenberry,us USA,DF,Philadelphia,23,1993,14,11,1052,11.7,0,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches,f940c69e
468,Brian Rowe,us USA,GK,LA Galaxy,28,1988,14,13,1231,13.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fff21763
469,Kelyn Rowe,us USA,MFDF,New England,25,1991,23,21,1898,21.1,1,6,1,0,0,3,0,0.05,0.28,0.33,0.05,0.33,Matches,cf928adb
470,Daniel Royer,at AUT,MFFW,NY Red Bulls,26,1990,26,23,1859,20.7,12,2,8,4,4,5,0,0.58,0.1,0.68,0.39,0.48,Matches,a92a4407
471,Diego Rubio,cl CHI,FW,Sporting KC,23,1993,16,11,1010,11.2,6,2,6,0,1,2,0,0.53,0.18,0.71,0.53,0.71,Matches,3f082234
472,Albert Rusnák,sk SVK,MF,Real Salt Lake,22,1994,30,29,2576,28.6,7,12,7,0,0,2,0,0.24,0.42,0.66,0.24,0.66,Matches,0adeafaa
473,Soony Saad,lb LIB,FW,Sporting KC,24,1992,12,6,450,5,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,Matches,1718bd3f
474,Mohammed Saeid,er ERI,MF,Minnesota Utd,26,1990,3,3,242,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,49649775
475,Mohammed Saeid,er ERI,MF,Colorado Rapids,26,1990,29,27,2260,25.1,1,2,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12,Matches,49649775
476,Michael Salazar,bz BLZ,MFFW,Montreal Impact,24,1992,17,7,694,7.7,3,2,3,0,0,1,0,0.39,0.26,0.65,0.39,0.65,Matches,dbab5aa7
477,Shea Salinas,us USA,MFDF,San Jose,30,1986,25,15,1444,16,1,2,1,0,0,3,0,0.06,0.12,0.19,0.06,0.19,Matches,4c10838d
478,Dániel Sallói,hu HUN,FW,Sporting KC,20,1996,22,12,1177,13.1,3,1,3,0,0,1,0,0.23,0.08,0.31,0.23,0.31,Matches,6fcddf5f
479,Lloyd Sam,gh GHA,MFFW,D.C. United,32,1984,30,23,2018,22.4,2,4,2,0,0,5,1,0.09,0.18,0.27,0.09,0.27,Matches,5d398e26
480,Ilie Sánchez,es ESP,MF,Sporting KC,26,1990,33,33,2970,33,0,1,0,0,0,6,0,0,0.03,0.03,0,0.03,Matches,72979f65
481,Richard Sánchez,mx MEX,GK,Chicago Fire,22,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4903c3a6
482,Vicente Sánchez,uy URU,MFFW,Houston Dynamo,37,1979,21,3,531,5.9,2,5,2,0,0,0,0,0.34,0.85,1.19,0.34,1.19,Matches,53ea588e
483,James Sands,us USA,DFMF,NYCFC,16,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,dccd127f
484,Pedro Santos,pt POR,MF,Columbus Crew,28,1988,9,8,646,7.2,0,2,0,0,0,2,0,0,0.28,0.28,0,0.28,Matches,789da0f2
485,C.J. Sapong,us USA,FW,Philadelphia,28,1988,33,30,2794,31,16,4,13,3,3,3,0,0.52,0.13,0.64,0.42,0.55,Matches,ef4e4c5d
486,Kofi Sarkodie,us USA,DFMF,San Jose,25,1991,18,16,1323,14.7,0,1,0,0,0,2,2,0,0.07,0.07,0,0.07,Matches,c98d4b4d
