,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
58,Kyle Beckerman,us USA,MF,Real Salt Lake,34,1982,26,26,2240,24.9,4,0,4,0,0,9,3,0.16,0,0.16,0.16,0.16,Matches,3485cb96
59,Alejandro Bedoya,us USA,MF,Philadelphia,29,1987,28,28,2508,27.9,2,3,2,0,1,6,0,0.07,0.11,0.18,0.07,0.18,Matches,9a6f8dfd
60,Steven Beitashour,ir IRN,MFDF,Toronto FC,29,1987,22,17,1592,17.7,0,4,0,0,0,1,0,0,0.23,0.23,0,0.23,Matches,64f1680a
61,Louis Béland-Goyette,ca CAN,MF,Montreal Impact,21,1995,6,4,293,3.3,0,1,0,0,0,2,0,0,0.31,0.31,0,0.31,Matches,fd1f71f5
62,Kharlton Belmar,gd GRN,FWMF,Sporting KC,24,1992,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a25e9c54
63,Tony Beltran,us USA,DF,Real Salt Lake,29,1987,21,21,1818,20.2,1,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,Matches,d75506b2
64,Joe Bendik,us USA,GK,Orlando City,27,1989,33,33,2970,33,0,0,0,0,0,1,0,0,0,0,0,0,Matches,c3e50b67
65,Hernán Bernardello,ar ARG,MF,Montreal Impact,30,1986,22,17,1496,16.6,0,2,0,0,0,5,0,0,0.12,0.12,0,0.12,Matches,dec04537
66,Víctor Bernárdez,hn HON,DF,San Jose,34,1982,25,25,2228,24.8,0,1,0,0,0,2,2,0,0.04,0.04,0,0.04,Matches,05f64d2f
67,Patrice Bernier,ca CAN,MF,Montreal Impact,37,1979,27,20,1795,19.9,2,3,1,1,1,1,0,0.1,0.15,0.25,0.05,0.2,Matches,c80a2f5e
68,Matt Besler,us USA,DF,Sporting KC,29,1987,26,26,2339,26,0,4,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches,8393a973
69,Vincent Bezecourt,fr FRA,MF,NY Red Bulls,23,1993,3,2,191,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,06545d47
70,Justin Bilyeu,us USA,DF,NY Red Bulls,22,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f545bbcf
71,David Bingham,us USA,GK,San Jose,27,1989,23,23,2070,23,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches,7fd42a85
72,Steve Birnbaum,us USA,DF,D.C. United,26,1991,26,25,2248,25,0,0,0,0,0,2,0,0,0,0,0,0,Matches,26637ac8
73,Andre Blake,jm JAM,GK,Philadelphia,26,1990,26,26,2340,26,0,0,0,0,0,2,0,0,0,0,0,0,Matches,b3b21a11
74,Sebastián Blanco,ar ARG,MF,Portland Timbers,28,1988,33,32,2776,30.8,8,4,8,0,0,6,1,0.26,0.13,0.39,0.26,0.39,Matches,4ddd0834
75,Latif Blessing,gh GHA,FW,Sporting KC,20,1996,25,16,1420,15.8,3,1,3,0,0,3,0,0.19,0.06,0.25,0.19,0.25,Matches,5153d32e
76,Mark Bloom,us USA,DF,Atlanta Utd,29,1987,2,2,162,1.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c4d5c336
77,Emmanuel Boateng,gh GHA,MF,LA Galaxy,23,1994,34,29,2301,25.6,4,2,4,0,0,0,0,0.16,0.08,0.23,0.16,0.23,Matches,25f77a5f
78,Christian Bolaños,cr CRC,MF,Vancouver,32,1984,21,18,1622,18,0,5,0,0,0,0,1,0,0.28,0.28,0,0.28,Matches,da2911c4
79,Deian Boldor,ro ROU,DF,Montreal Impact,21,1995,5,5,412,4.6,0,0,0,0,0,0,1,0,0,0,0,0,Matches,9b7533de
80,Alex Bono,us USA,GK,Toronto FC,22,1994,29,28,2571,28.6,0,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches,aa28a396
81,Bobby Boswell,us USA,DF,D.C. United,33,1983,10,10,884,9.8,1,0,1,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches,94a315e2
82,Bobby Boswell,us USA,DF,Atlanta Utd,33,1983,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,94a315e2
83,Michael Boxall,nz NZL,DF,Minnesota Utd,28,1988,12,12,1080,12,0,0,0,0,0,2,0,0,0,0,0,0,Matches,6bfa0d3a
84,Michael Bradley,us USA,MF,Toronto FC,29,1987,30,30,2700,30,0,2,0,0,0,7,0,0,0.07,0.07,0,0.07,Matches,fd5e3a73
85,Frédéric Brillant,fr FRA,DF,NYCFC,31,1985,23,16,1529,17,1,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Matches,5b14180f
86,Brandt Bronico,us USA,MF,Chicago Fire,21,1995,4,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,bd4460b1
87,Deshorn Brown,jm JAM,FW,D.C. United,26,1990,16,10,785,8.7,2,1,2,0,0,1,0,0.23,0.11,0.34,0.23,0.34,Matches,0163462a
88,Will Bruin,us USA,FW,Seattle,27,1989,31,20,1824,20.3,11,2,11,0,0,1,0,0.54,0.1,0.64,0.54,0.64,Matches,87a6ac29
89,Teal Bunbury,us USA,MFFW,New England,26,1990,28,13,1287,14.3,7,1,7,0,0,1,0,0.49,0.07,0.56,0.49,0.56,Matches,3077fce8
90,Marc Burch,us USA,DF,Minnesota Utd,32,1984,15,14,1230,13.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches,bff42de6
