,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
118,Valentín Castellanos,ar ARG,FW,NYCFC,19,1998,8,5,446,5,1,0,1,0,0,2,0,0.2,0,0.2,0.2,0.2,2.8,2.8,0.4,3.2,0.56,0.08,0.64,0.56,0.64,Matches,da76bab4
119,Edgar Castillo,us USA,DFMF,Colorado Rapids,31,1986,28,28,2439,27.1,3,5,3,0,0,7,0,0.11,0.18,0.3,0.11,0.3,0.9,0.9,3.2,4.1,0.03,0.12,0.15,0.03,0.15,Matches,3cdde01b
120,Darwin Cerén,sv SLV,MF,Houston Dynamo,28,1989,24,20,1861,20.7,1,0,1,0,0,9,1,0.05,0,0.05,0.05,0.05,0.3,0.3,0.6,0.9,0.01,0.03,0.04,0.01,0.04,Matches,a58de3f0
121,Maxime Chanot,lu LUX,DF,NYCFC,28,1989,18,18,1569,17.4,1,0,1,0,0,2,1,0.06,0,0.06,0.06,0.06,0.7,0.7,0.1,0.7,0.04,0,0.04,0.04,0.04,Matches,ca366055
122,Jay Chapman,ca CAN,MFFW,Toronto FC,24,1994,22,10,987,11,3,1,3,0,0,2,0,0.27,0.09,0.36,0.27,0.36,2.8,2.8,2.6,5.4,0.26,0.24,0.49,0.26,0.49,Matches,3bb4d381
123,Diego Chará,co COL,MF,Portland Timbers,31,1986,27,26,2385,26.5,2,0,2,0,0,11,0,0.08,0,0.08,0.08,0.08,1.9,1.9,1.9,3.8,0.07,0.07,0.14,0.07,0.14,Matches,6260cc9d
124,David Choinière,ca CAN,MF,Montreal Impact,20,1997,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d9f55da5
125,Mathieu Choiniere,ca CAN,FWMF,Montreal Impact,18,1999,5,0,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.11,0.08,0.18,0.11,0.18,Matches,017459bb
126,Paul Christensen,us USA,GK,Atlanta Utd,21,1996,1,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f7927c06
127,Michaël Ciani,fr FRA,DF,LA Galaxy,33,1984,21,19,1645,18.3,1,0,1,0,0,5,0,0.05,0,0.05,0.05,0.05,0.4,0.4,0.1,0.5,0.02,0,0.03,0.02,0.03,Matches,2ce3dc98
128,Laurent Ciman,be BEL,DF,Los Angeles FC,32,1985,22,22,1980,22,3,0,3,0,0,1,0,0.14,0,0.14,0.14,0.14,1,1,1,2,0.05,0.05,0.1,0.05,0.1,Matches,5113d9a7
129,Ricardo Clark,us USA,MF,Columbus Crew,34,1983,13,8,640,7.1,1,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,0.6,0.6,0.3,0.9,0.08,0.04,0.13,0.08,0.13,Matches,1bf7f157
130,Steve Clark,us USA,GK,D.C. United,31,1986,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ed6320b7
131,Steve Clark,us USA,GK,Portland Timbers,31,1986,8,6,578,6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ed6320b7
132,Stefan Cleveland,us USA,GK,Chicago Fire,23,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,873fdbdf
133,Ashley Cole,eng ENG,DFMF,LA Galaxy,37,1980,31,30,2684,29.8,1,9,1,0,0,8,2,0.03,0.3,0.34,0.03,0.34,1.5,1.5,5,6.5,0.05,0.17,0.22,0.05,0.22,Matches,be091289
134,Elliot Collier,nz NZL,FWMF,Chicago Fire,22,1995,16,9,906,10.1,1,1,1,0,0,1,0,0.1,0.1,0.2,0.1,0.2,2.1,2.1,1,3.1,0.21,0.1,0.3,0.21,0.3,Matches,5804f03b
135,Aurélien Collin,fr FRA,DF,NY Red Bulls,31,1986,7,5,353,3.9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.03,0.03,0.01,0.03,Matches,a4631166
136,Cristian Colmán,py PAR,FW,FC Dallas,23,1994,15,6,610,6.8,2,0,2,0,0,0,1,0.3,0,0.3,0.3,0.3,2.4,2.4,1.2,3.6,0.36,0.18,0.54,0.36,0.54,Matches,c896354b
137,Josué Colmán,py PAR,FW,Orlando City,19,1998,24,10,1063,11.8,1,2,1,0,0,0,0,0.08,0.17,0.25,0.08,0.25,1.3,1.3,1.4,2.7,0.11,0.12,0.23,0.11,0.23,Matches,9603d928
138,Kip Colvey,nz NZL,DFMF,Colorado Rapids,23,1994,3,3,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0.03,0,0.03,Matches,216b7b86
139,Simon Colyn,ca CAN,MF,Vancouver,15,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1.04,0,1.04,1.04,1.04,Matches,5a3b5a26
140,Tomás Conechny,ar ARG,FWMF,Portland Timbers,19,1998,4,1,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.27,0.03,0.3,0.27,0.3,Matches,f61143dd
141,Drew Conner,us USA,MFDF,Chicago Fire,23,1994,11,5,467,5.2,0,1,0,0,0,3,1,0,0.19,0.19,0,0.19,0,0,0.4,0.5,0.01,0.08,0.09,0.01,0.09,Matches,87744c26
142,Warren Creavalle,us USA,MF,Philadelphia,27,1990,17,6,689,7.7,0,1,0,0,0,2,0,0,0.13,0.13,0,0.13,0.2,0.2,0.6,0.7,0.02,0.07,0.09,0.02,0.09,Matches,ac4e49fa
143,Alex Crognale,us USA,FWDF,Columbus Crew,23,1994,5,0,101,1.1,1,0,1,0,0,0,0,0.89,0,0.89,0.89,0.89,0.1,0.1,0,0.1,0.11,0,0.11,0.11,0.11,Matches,1169c5eb
144,Yohan Croizet,fr FRA,MFFW,Sporting KC,25,1992,32,19,1591,17.7,3,3,3,0,0,2,0,0.17,0.17,0.34,0.17,0.34,3.6,3.6,2.1,5.7,0.2,0.12,0.32,0.2,0.32,Matches,dc303a48
145,Harold Cummings,pa PAN,DF,San Jose,25,1992,21,21,1874,20.8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.2,0.3,0,0.01,0.01,0,0.01,Matches,d3aa261b
146,Aidan Daniels,ca CAN,DF,Toronto FC,19,1998,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches,3b119e8e
147,Abu Danladi,gh GHA,FW,Minnesota Utd,22,1995,16,5,488,5.4,1,1,1,0,0,1,0,0.18,0.18,0.37,0.18,0.37,2,2,1,3,0.37,0.18,0.56,0.37,0.56,Matches,507383d1
148,Juan David Cabezas,co COL,MF,Houston Dynamo,26,1991,6,4,289,3.2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,4ea22d91
149,Alphonso Davies,ca CAN,FWMF,Vancouver,17,2000,31,27,2419,26.9,8,9,8,0,0,2,0,0.3,0.33,0.63,0.3,0.63,5.5,5.5,6.1,11.6,0.2,0.23,0.43,0.2,0.43,Matches,d781d855
150,Sean Davis,us USA,MF,NY Red Bulls,24,1993,32,30,2574,28.6,0,4,0,0,0,1,0,0,0.14,0.14,0,0.14,0.4,0.4,2.6,3,0.01,0.09,0.1,0.01,0.1,Matches,cb75cac9
151,Christian Dean,us USA,DF,Chicago Fire,24,1993,2,2,177,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03,Matches,8c2098b6
152,A.J. DeLaGarza,gu GUM,DF,Houston Dynamo,30,1987,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01,Matches,171b3c37
153,Antonio Delamea Mlinar,si SVN,DF,New England,26,1991,18,18,1514,16.8,0,0,0,0,0,8,1,0,0,0,0,0,0.5,0.5,0,0.5,0.03,0,0.03,0.03,0.03,Matches,31a14bb4
154,Jordy Delem,mq MTQ,MFDF,Seattle,24,1993,16,10,858,9.5,1,0,1,0,0,5,0,0.1,0,0.1,0.1,0.1,0.8,0.8,0.1,0.9,0.08,0.01,0.09,0.08,0.09,Matches,12e3a5f4
155,Nick DeLeon,us USA,DF,D.C. United,27,1990,15,12,1064,11.8,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,1.2,1.2,0.5,1.7,0.1,0.05,0.15,0.1,0.15,Matches,21490b0d
156,Marky Delgado,us USA,MF,Toronto FC,22,1995,28,21,1983,22,2,2,2,0,0,3,0,0.09,0.09,0.18,0.09,0.18,1.8,1.8,2.2,4,0.08,0.1,0.18,0.08,0.18,Matches,7f6a25b7
157,Clint Dempsey,us USA,MFFW,Seattle,34,1983,14,9,905,10.1,1,1,1,0,0,1,1,0.1,0.1,0.2,0.1,0.2,3.4,3.4,1.5,4.9,0.34,0.15,0.49,0.34,0.49,Matches,523d9de6
158,Gregory van der Wiel,nl NED,DF,Toronto FC,29,1988,27,25,2296,25.5,0,4,0,0,0,2,1,0,0.16,0.16,0,0.16,0.1,0.1,1.9,2.1,0.01,0.08,0.08,0.01,0.08,Matches,2fb3ad46
159,Tyler Deric,us USA,GK,Houston Dynamo,29,1988,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8a37dd84
160,Mauro Díaz,ar ARG,MFFW,FC Dallas,26,1991,12,9,803,8.9,2,5,0,2,2,3,0,0.22,0.56,0.78,0,0.56,3.2,1.7,3,4.7,0.36,0.34,0.7,0.19,0.53,Matches,5b96081a
161,Claude Dielna,gp GLP,DF,New England,30,1987,17,15,1333,14.8,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0.4,1.4,0.07,0.03,0.09,0.07,0.09,Matches,aa862ba0
162,Adama Diomande,no NOR,FW,Los Angeles FC,27,1990,18,14,1248,13.9,12,4,12,0,0,1,0,0.87,0.29,1.15,0.87,1.15,9.4,9.4,2,11.4,0.68,0.14,0.82,0.68,0.82,Matches,336dbcb2
163,Bo?ek Do?kal,cz CZE,MF,Philadelphia,29,1988,31,30,2380,26.4,5,11,4,1,1,1,0,0.19,0.42,0.61,0.15,0.57,4,3.2,8.4,11.6,0.15,0.32,0.47,0.12,0.44,Matches,5eb77bef
164,Marco Donadel,it ITA,DFMF,Montreal Impact,34,1983,2,1,97,1.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches,3169af41
165,Giovani dos Santos,mx MEX,MFFW,LA Galaxy,28,1989,14,10,823,9.1,3,2,3,0,0,2,0,0.33,0.22,0.55,0.33,0.55,3.3,3.3,1.7,4.9,0.36,0.18,0.54,0.36,0.54,Matches,7dba6233
166,Jonathan dos Santos,mx MEX,MF,LA Galaxy,27,1990,23,22,1907,21.2,2,4,2,0,0,3,0,0.09,0.19,0.28,0.09,0.28,0.7,0.7,1.4,2.1,0.03,0.07,0.1,0.03,0.1,Matches,91872dec
167,Kyle Duncan,us USA,DF,NY Red Bulls,20,1997,4,4,360,4,0,1,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0.3,0.3,0,0.07,0.07,0,0.07,Matches,575e6cb1
168,Julian Dunn-Johnson,ca CAN,DF,Toronto FC,17,2000,2,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,220b5800
169,Chris Durkin,us USA,MF,D.C. United,17,2000,23,16,1506,16.7,0,0,0,0,0,4,0,0,0,0,0,0,0.4,0.4,0.3,0.7,0.03,0.02,0.04,0.03,0.04,Matches,0ffd4373
170,Chris Duvall,us USA,DF,Montreal Impact,26,1991,15,14,1192,13.2,0,1,0,0,0,4,0,0,0.08,0.08,0,0.08,0,0,0.8,0.9,0,0.06,0.07,0,0.07,Matches,39fae08b
171,Dom Dwyer,us USA,FW,Orlando City,27,1990,26,25,2242,24.9,13,0,13,0,0,9,0,0.52,0,0.52,0.52,0.52,11.2,11.2,0.4,11.5,0.45,0.01,0.46,0.45,0.46,Matches,bdfc15f8
172,Jeremy Ebobisse,us USA,FW,Portland Timbers,20,1997,9,5,450,5,2,0,2,0,0,1,0,0.4,0,0.4,0.4,0.4,1.9,1.9,0.6,2.5,0.38,0.12,0.5,0.38,0.5,Matches,5fa7b2ec
173,Earl Edwards Jr.,us USA,GK,Orlando City,26,1992,5,5,391,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,10f6f942
174,Raheem Edwards,ca CAN,FWMF,Montreal Impact,22,1995,14,9,808,9,2,0,2,0,0,3,0,0.22,0,0.22,0.22,0.22,1.4,1.4,0.5,1.9,0.16,0.05,0.21,0.16,0.21,Matches,b828d56a
175,Raheem Edwards,ca CAN,FWMF,Chicago Fire,22,1995,13,10,916,10.2,1,2,1,0,0,0,0,0.1,0.2,0.29,0.1,0.29,1.4,1.4,2.6,4.1,0.14,0.26,0.4,0.14,0.4,Matches,b828d56a
176,Alberth Elis,hn HON,FW,Houston Dynamo,21,1996,30,27,2414,26.8,11,9,9,2,2,6,1,0.41,0.34,0.75,0.34,0.67,13.2,11.7,7.8,19.5,0.49,0.29,0.78,0.43,0.73,Matches,104b4ad3
177,Jack Elliott,eng ENG,DF,Philadelphia,22,1995,17,16,1429,15.9,2,0,2,0,0,7,1,0.13,0,0.13,0.13,0.13,1.6,1.6,0,1.6,0.1,0,0.1,0.1,0.1,Matches,041deebd
178,Kevin Ellis,us USA,DFFW,D.C. United,26,1991,2,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,93410fdb
179,Kevin Ellis,us USA,DF,Chicago Fire,26,1991,20,19,1531,17,2,3,2,0,0,3,0,0.12,0.18,0.29,0.12,0.29,0.6,0.6,0.9,1.6,0.04,0.05,0.09,0.04,0.09,Matches,93410fdb
180,Marcus Epps,us USA,FW,Philadelphia,23,1995,13,8,606,6.7,1,0,1,0,0,0,0,0.15,0,0.15,0.15,0.15,1.7,1.7,0.7,2.4,0.26,0.1,0.36,0.26,0.36,Matches,7bb23f0e
181,Magnus Eriksson,se SWE,MFFW,San Jose,27,1990,32,29,2484,27.6,6,3,3,3,3,2,0,0.22,0.11,0.33,0.11,0.22,5.3,3,4.3,7.3,0.19,0.15,0.35,0.11,0.26,Matches,5571f8b5
182,Fidel Escobar,pa PAN,DF,NY Red Bulls,23,1995,6,4,375,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.08,0,0.08,0.08,0.08,Matches,4991ec66
183,Franco Escobar,ar ARG,DF,Atlanta Utd,22,1995,22,20,1788,19.9,1,0,1,0,0,7,0,0.05,0,0.05,0.05,0.05,1.1,1.1,1.1,2.3,0.06,0.06,0.11,0.06,0.11,Matches,54f33d0e
184,Roger Espinoza,hn HON,MF,Sporting KC,31,1986,32,32,2820,31.3,3,6,3,0,0,9,1,0.1,0.19,0.29,0.1,0.29,2.8,2.8,5.1,7.9,0.09,0.17,0.26,0.09,0.26,Matches,60b7c195
185,Derrick Etienne,ht HAI,FW,NY Red Bulls,21,1996,30,9,970,10.8,5,0,5,0,1,1,0,0.46,0,0.46,0.46,0.46,6.9,6.1,1.2,7.3,0.64,0.12,0.75,0.57,0.68,Matches,59059f1e
186,Fabinho,br BRA,DF,Philadelphia,32,1985,11,8,715,7.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.05,0.05,0,0.05,Matches,4e3a17fc
187,Diego Fagúndez,uy URU,MFFW,New England,22,1995,33,30,2661,29.6,9,8,8,1,2,9,0,0.3,0.27,0.57,0.27,0.54,7,5.6,7.8,13.4,0.24,0.26,0.5,0.19,0.45,Matches,fe81682e
188,Rod Fanni,fr FRA,DF,Montreal Impact,36,1981,26,26,2289,25.4,1,0,1,0,0,0,0,0.04,0,0.04,0.04,0.04,0.2,0.2,0.2,0.4,0.01,0.01,0.01,0.01,0.01,Matches,28c4631c
189,Marco Farfan,us USA,DFFW,Portland Timbers,19,1998,11,6,516,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.07,0.07,0,0.07,Matches,cfc68595
190,Andrew Farrell,us USA,DF,New England,25,1992,31,30,2701,30,2,2,2,0,0,2,0,0.07,0.07,0.13,0.07,0.13,0.7,0.7,2.1,2.7,0.02,0.07,0.09,0.02,0.09,Matches,71eda165
191,Benny Feilhaber,us USA,MF,Los Angeles FC,33,1985,34,32,2796,31.1,3,2,3,0,0,5,0,0.1,0.06,0.16,0.1,0.16,1.5,1.5,4.6,6.2,0.05,0.15,0.2,0.05,0.2,Matches,7ed107b1
192,Felipe,br BRA,MF,Vancouver,27,1990,29,24,2204,24.5,1,2,1,0,0,4,0,0.04,0.08,0.12,0.04,0.12,1.4,1.4,3.7,5,0.06,0.15,0.21,0.06,0.21,Matches,2415bd0a
193,Luis Felipe,br BRA,MF,San Jose,22,1996,13,11,974,10.8,0,1,0,0,0,4,0,0,0.09,0.09,0,0.09,0.3,0.3,0.3,0.5,0.03,0.03,0.05,0.03,0.05,Matches,a07caf31
194,Rolf Feltscher,ve VEN,DF,LA Galaxy,27,1990,15,15,1293,14.4,1,3,1,0,0,6,0,0.07,0.21,0.28,0.07,0.28,0.2,0.2,1.5,1.7,0.01,0.11,0.12,0.01,0.12,Matches,27baf026
195,Gerso Fernandes,gw GNB,FW,Sporting KC,26,1991,31,17,1598,17.8,5,4,5,0,0,1,0,0.28,0.23,0.51,0.28,0.51,5.5,5.5,4,9.5,0.31,0.22,0.53,0.31,0.53,Matches,43cbe937
196,Luiz Fernando,br BRA,MF,Minnesota Utd,22,1995,11,6,577,6.4,0,0,0,0,0,7,1,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Matches,a908f2c2
197,Jesus Ferreira,us USA,FW,FC Dallas,17,2000,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,6.15,0,6.15,6.15,6.15,Matches,f61246d8
198,Maynor Figueroa,hn HON,DF,FC Dallas,34,1983,16,11,1010,11.2,1,0,1,0,0,2,0,0.09,0,0.09,0.09,0.09,0.6,0.6,0.2,0.8,0.06,0.01,0.07,0.06,0.07,Matches,d8524b21
199,Ethan Finlay,us USA,FW,Minnesota Utd,27,1990,7,7,569,6.3,2,1,2,0,0,0,0,0.32,0.16,0.47,0.32,0.47,2,2,1,3,0.32,0.16,0.48,0.32,0.48,Matches,c16a59af
200,Oniel Fisher,jm JAM,DF,D.C. United,26,1991,24,20,1832,20.4,1,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,1.1,1.1,1.4,2.5,0.05,0.07,0.12,0.05,0.12,Matches,ed5fdca6
201,Andrés Flores,sv SLV,MF,Portland Timbers,27,1990,26,11,1171,13,1,2,1,0,0,1,0,0.08,0.15,0.23,0.08,0.23,1.7,1.7,1.4,3.1,0.13,0.11,0.24,0.13,0.24,Matches,67c11728
202,Anthony Fontana,us USA,MF,Philadelphia,18,1999,5,1,102,1.1,1,0,1,0,0,0,0,0.88,0,0.88,0.88,0.88,0.8,0.8,0.3,1.1,0.69,0.26,0.95,0.69,0.95,Matches,1f34358e
203,Andreu Fontàs,es ESP,DF,Sporting KC,28,1989,2,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0f138d5a
204,Kortne Ford,us USA,DF,Colorado Rapids,22,1996,15,14,1138,12.6,0,0,0,0,0,7,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,552a7707
205,Waylon Francis,cr CRC,DFFW,Seattle,27,1990,11,5,585,6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1,1.1,0.01,0.17,0.17,0.01,0.17,Matches,a3a1849f
206,Sean Franklin,us USA,DF,Vancouver,32,1985,11,9,833,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0.1,0,0.1,Matches,a2cb3f2c
207,Liam Fraser,ca CAN,MFFW,Toronto FC,19,1998,10,7,614,6.8,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.2,0.02,0.01,0.03,0.02,0.03,Matches,d784062b
208,Stefan Frei,ch SUI,GK,Seattle,31,1986,33,33,2970,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1d0a0f3e
209,Alejandro Fuenmayor,ve VEN,DF,Houston Dynamo,21,1996,22,21,1762,19.6,3,1,3,0,0,7,1,0.15,0.05,0.2,0.15,0.2,1.1,1.1,0.3,1.4,0.06,0.01,0.07,0.06,0.07,Matches,77edb7ec
210,Gilbert Fuentes,us USA,MF,San Jose,15,2002,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a0f5470d
211,Omar Gaber,eg EGY,FWDF,Los Angeles FC,26,1992,7,2,258,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.09,0.18,0.28,0.09,0.28,Matches,05b41351
212,Ray Gaddis,us USA,DF,Philadelphia,28,1990,28,25,2299,25.5,0,1,0,0,0,1,0,0,0.04,0.04,0,0.04,0.7,0.7,0.6,1.4,0.03,0.02,0.05,0.03,0.05,Matches,8348b24d
213,Boniek García,hn HON,MF,Houston Dynamo,33,1984,29,21,2064,22.9,1,6,1,0,0,7,0,0.04,0.26,0.31,0.04,0.31,0.2,0.2,5.1,5.4,0.01,0.22,0.23,0.01,0.23,Matches,889ce425
214,Kevin Garcia,us USA,DF,Houston Dynamo,27,1990,15,11,1103,12.3,1,0,1,0,0,0,0,0.08,0,0.08,0.08,0.08,0.2,0.2,0.4,0.6,0.01,0.03,0.05,0.01,0.05,Matches,bb978f2b
215,Greg Garza,us USA,DFMF,Atlanta Utd,26,1991,11,10,926,10.3,1,1,1,0,0,2,1,0.1,0.1,0.19,0.1,0.19,0.7,0.7,1,1.7,0.07,0.1,0.17,0.07,0.17,Matches,5ae88d65
216,Shkëlzen Gashi,al ALB,FWMF,Colorado Rapids,29,1988,21,9,818,9.1,2,2,1,1,1,3,0,0.22,0.22,0.44,0.11,0.33,3.3,2.6,1.9,4.4,0.37,0.2,0.57,0.28,0.49,Matches,5bc0c164
217,Ali Ghazal,eg EGY,MFDF,Vancouver,25,1992,22,17,1444,16,0,0,0,0,0,2,0,0,0,0,0,0,0.7,0.7,0.1,0.7,0.04,0.01,0.05,0.04,0.05,Matches,5e8a3e39
218,Luis Gil,us USA,MFFW,Houston Dynamo,24,1993,12,3,279,3.1,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0.2,0.02,0.22,0.2,0.22,Matches,eda19e9e
219,Sebastian Giovinco,it ITA,FW,Toronto FC,31,1987,28,26,2385,26.5,13,7,12,1,4,5,1,0.49,0.26,0.75,0.45,0.72,15.1,12.1,7.2,19.3,0.57,0.27,0.84,0.46,0.73,Matches,2b7c18ae
220,Justen Glad,us USA,DF,Real Salt Lake,20,1997,33,33,2909,32.3,0,0,0,0,0,6,0,0,0,0,0,0,0.9,0.9,0.4,1.2,0.03,0.01,0.04,0.03,0.04,Matches,5b768b0f
221,Jake Gleeson,nz NZL,GK,Portland Timbers,27,1990,6,6,540,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,31539d1e
222,Aníbal Godoy,pa PAN,MF,San Jose,27,1990,27,27,2344,26,0,1,0,0,0,8,0,0,0.04,0.04,0,0.04,0.7,0.7,0.8,1.5,0.03,0.03,0.06,0.03,0.06,Matches,2d496ca3
223,Alexi Gómez,pe PER,FWMF,Minnesota Utd,24,1993,18,16,1316,14.6,0,0,0,0,0,4,0,0,0,0,0,0,0.9,0.9,0.6,1.5,0.06,0.04,0.1,0.06,0.1,Matches,a3f159c9
224,Jesse Gonzalez,mx MEX,GK,FC Dallas,22,1995,21,21,1890,21,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,203a7651
225,Leandro González Pirez,ar ARG,DF,Atlanta Utd,25,1992,32,32,2772,30.8,1,1,1,0,0,9,1,0.03,0.03,0.06,0.03,0.06,2,2,0.9,2.8,0.06,0.03,0.09,0.06,0.09,Matches,5ba1112c
226,Alan Gordon,us USA,FWMF,Chicago Fire,36,1981,23,7,835,9.3,4,0,4,0,0,2,0,0.43,0,0.43,0.43,0.43,2.5,2.5,0.1,2.6,0.27,0.01,0.28,0.27,0.28,Matches,853a8241
227,Mike Grella,us USA,FW,Columbus Crew,31,1987,12,5,483,5.4,1,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,0.8,0.8,1.2,2.1,0.15,0.23,0.38,0.15,0.38,Matches,996c5a04
228,Julian Gressel,de GER,MFDF,Atlanta Utd,24,1993,33,33,2942,32.7,4,12,4,0,0,3,0,0.12,0.37,0.49,0.12,0.49,4.4,4.4,7.8,12.2,0.14,0.24,0.37,0.14,0.37,Matches,acd47bc0
229,Adam Grinwis,us USA,GK,Orlando City,25,1992,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0d3f30b9
230,Carlos Gruezo,ec ECU,MF,FC Dallas,22,1995,31,28,2509,27.9,2,1,2,0,0,8,0,0.07,0.04,0.11,0.07,0.11,2.8,2.8,0.9,3.7,0.1,0.03,0.14,0.1,0.14,Matches,f2dd9a21
231,Felipe Gutiérrez,cl CHI,MF,Sporting KC,27,1990,20,18,1517,16.9,7,1,7,0,0,3,0,0.42,0.06,0.47,0.42,0.47,3.2,3.2,1.6,4.7,0.2,0.1,0.3,0.2,0.3,Matches,80ae314a
232,Brad Guzan,us USA,GK,Atlanta Utd,33,1984,33,33,2913,32.4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches,d899e3bf
233,David Guzmán,cr CRC,MF,Portland Timbers,27,1990,14,11,968,10.8,3,0,3,0,0,5,0,0.28,0,0.28,0.28,0.28,1.2,1.2,0.7,1.9,0.11,0.07,0.18,0.11,0.18,Matches,bb62beaa
234,Nick Hagglund,us USA,DF,Toronto FC,25,1992,20,15,1432,15.9,3,0,3,0,0,1,0,0.19,0,0.19,0.19,0.19,0.8,0.8,0.2,1,0.05,0.01,0.06,0.05,0.06,Matches,39632554
235,Marlon Hairston,us USA,DFMF,Colorado Rapids,23,1994,15,13,1104,12.3,0,1,0,0,0,1,0,0,0.08,0.08,0,0.08,0.3,0.3,0.9,1.2,0.03,0.07,0.1,0.03,0.1,Matches,1d531c57
236,Bill Hamid,us USA,GK,D.C. United,27,1990,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,012fc030
237,Jordan Hamilton,ca CAN,FWMF,Toronto FC,21,1996,14,10,862,9.6,2,1,2,0,0,1,0,0.21,0.1,0.31,0.21,0.31,3.9,3.9,1,4.9,0.41,0.1,0.51,0.41,0.51,Matches,d80a3a57
238,Niko Hansen,dk DEN,FW,Columbus Crew,23,1994,22,11,1030,11.4,3,2,3,0,0,1,0,0.26,0.17,0.44,0.26,0.44,3.2,3.2,1.7,4.9,0.28,0.15,0.43,0.28,0.43,Matches,9bebd450
